#~alp   var(alpha)   ~u   ~v   ~w   ~qp
   0.8529248E-002   0.2229129E-005   0.4224377E-001   0.7740154E-001   0.3695097E+000   0.2716349E-001
   0.1562881E-001   0.1793000E-004   0.6819730E-001   0.7806124E-001   0.1379154E+000   0.1301165E-001
   0.2511670E-001   0.2913296E-004   0.1067352E+000   0.8280193E-001  -0.4421809E-001   0.4785737E-002
   0.2342259E-001   0.7281336E-004   0.1352649E+000   0.9274865E-001  -0.1179868E+000   0.2663266E-002
   0.2233031E-001   0.1261708E-003   0.1089014E+000   0.6275693E-001  -0.1530065E+000   0.3116645E-002
   0.2969652E-001   0.2793605E-003   0.9562802E-001   0.6475244E-001  -0.2593196E+000   0.2944901E-002
   0.6439035E-001   0.5079901E-003   0.1137999E+000   0.7603866E-001  -0.3213700E+000   0.2553065E-002
   0.1173829E+000   0.3077202E-002  -0.4931136E-002   0.4140893E-001  -0.4971107E+000   0.2497919E-002
   0.8562118E-001   0.3793047E-002  -0.3927166E-001   0.3894120E-001  -0.4689444E+000   0.3192515E-002
   0.4541856E-001   0.1192558E-003  -0.3690795E-001  -0.2568431E-001  -0.1364828E+000   0.6385659E-002
   0.5743475E-001   0.2328939E-003  -0.6161458E-001  -0.1248849E+000  -0.3013882E-001   0.5089026E-002
   0.3711512E-001   0.1450212E-003  -0.7383754E-001  -0.1485026E+000   0.5085116E-001   0.5017448E-002
   0.5102130E-001   0.9802237E-003  -0.4514064E-001  -0.1066247E+000   0.2446582E-001   0.3546989E-002
   0.5827933E-001   0.1740235E-002  -0.5715548E-002  -0.8718568E-001   0.3568411E-001   0.3489236E-002
   0.3510486E-001   0.5580686E-003   0.6685200E-002  -0.7047631E-001   0.1082273E+000   0.3839583E-002
   0.4370187E-001   0.3442568E-003   0.2344845E-002  -0.7301139E-001   0.4763856E-001   0.4767419E-002
   0.4502819E-001   0.5559843E-003   0.1237954E-001  -0.9600391E-001  -0.4301684E-001   0.3559284E-002
   0.1524290E-001   0.3501328E-004  -0.2556277E-001  -0.1507352E+000   0.5859021E-001   0.2554246E-002
   0.1205919E-001   0.4356448E-006  -0.3569497E-001  -0.1708192E+000   0.1538444E+000   0.2716994E-002
   0.1210733E-001   0.5484533E-006  -0.1185659E-001  -0.1556549E+000   0.1995333E+000   0.3855994E-002
   0.1446490E-001   0.3021883E-005   0.3832919E-001  -0.1478846E+000   0.2340376E+000   0.4837211E-002
   0.2161187E-001   0.3023861E-004   0.9386396E-001  -0.1511096E+000   0.2290920E+000   0.4693803E-002
   0.2896603E-001   0.2465456E-004   0.1062303E+000  -0.1700475E+000   0.1742008E+000   0.4506533E-002
   0.3741329E-001   0.7740507E-003   0.9412840E-001  -0.2196083E+000   0.3645979E-002   0.4145812E-002
   0.2769220E-001   0.6098267E-003   0.1335596E+000  -0.2312979E+000   0.2415222E-002   0.3745272E-002
   0.4071526E-001   0.3410818E-003   0.1312236E+000  -0.2008247E+000   0.9175752E-001   0.1737034E-002
   0.4162923E-001   0.2632476E-003   0.1107603E+000  -0.2125754E+000   0.9712240E-001   0.8403698E-003
   0.1766212E-001   0.1979669E-003   0.9295816E-001  -0.2120948E+000   0.8233035E-001   0.1545981E-002
   0.6970532E-001   0.5891954E-002   0.1198143E+000  -0.1354857E+000  -0.8160377E-001   0.8616388E-003
   0.1755070E+000   0.6353763E-002   0.1358903E+000  -0.1054929E+000  -0.9491513E-001   0.6241028E-003
   0.1329092E+000   0.5288488E-002   0.1179493E+000  -0.4121895E-001  -0.9865900E-001   0.8424291E-003
   0.8764446E-001   0.1625435E-002   0.6055601E-001   0.4439608E-002  -0.7963405E-001   0.2434496E-002
   0.3304466E-001   0.8789600E-003   0.2904659E-001  -0.5401787E-001   0.7055523E-001   0.1331946E-001
