# ~alp d~p/dz   Phi_p_sgs,z
  -0.8458067E+001   0.1061869E+001
  -0.1677918E+002   0.7085065E+001
  -0.1676016E+002   0.4896924E+001
  -0.1047704E+002   0.1761161E+001
  -0.3465568E+001   0.3370949E+000
  -0.2511550E+001   0.2190011E+000
  -0.1654524E+001   0.5854881E-001
  -0.1612694E+001  -0.7912225E-002
  -0.2284981E+001  -0.8377331E-002
  -0.3035983E+001   0.9591365E-002
  -0.2987897E+001   0.1379133E-001
  -0.2208055E+001   0.7131740E-002
  -0.1510385E+001  -0.1178036E-002
  -0.1202146E+001  -0.1556946E-002
  -0.1241176E+001  -0.9482499E-003
  -0.1778002E+001   0.5734156E-003
  -0.4157497E+001   0.5190249E-001
  -0.1967423E+002  -0.1104655E+001
  -0.4339793E+002  -0.8498072E+000
  -0.5328219E+002   0.2389814E+001
  -0.3481733E+002   0.2713666E+001
  -0.1641660E+002   0.4564616E-001
  -0.1280216E+002  -0.7434823E-001
  -0.1009432E+002   0.1916713E+000
  -0.8301026E+001   0.6369463E+000
  -0.8419587E+001   0.6574583E+000
  -0.1103683E+002   0.4765649E+000
  -0.1805605E+002   0.1299256E+001
  -0.2274505E+002   0.1756985E+001
  -0.2238574E+002   0.1403925E+001
  -0.1930406E+002   0.2644396E+000
  -0.1320764E+002  -0.1362150E+000
  -0.7081849E+001   0.1254494E+000
  -0.4319155E+001   0.1464979E+000
  -0.4143124E+001   0.2393681E-001
  -0.4876052E+001   0.1391324E+000
  -0.8128429E+001   0.4271380E+000
  -0.1133470E+002   0.5808663E+000
  -0.1086849E+002   0.3786462E+000
  -0.8509477E+001   0.2181250E+000
  -0.4924415E+001   0.2215154E+000
  -0.1297663E+002   0.2752322E+001
  -0.1519567E+002   0.1523805E+001
  -0.9710829E+001   0.6639963E+000
  -0.3071302E+001   0.3535667E+000
  -0.1965631E+001   0.1015843E+000
  -0.1680518E+001   0.2489971E-001
  -0.2199142E+001  -0.4619987E-002
  -0.3727059E+001   0.3793618E-001
  -0.5096370E+001   0.6287478E-001
  -0.5000893E+001   0.4365506E-001
  -0.3754544E+001   0.1768670E-001
  -0.2485559E+001   0.8007736E-003
  -0.1639526E+001  -0.1978478E-002
  -0.1281052E+001  -0.1324551E-002
  -0.1466425E+001   0.3031718E-002
  -0.2806119E+001   0.2431797E-001
  -0.1162130E+002  -0.4288930E+000
  -0.3098148E+002  -0.1474532E+001
  -0.4945772E+002   0.5669838E+000
  -0.4712637E+002   0.3076356E+001
  -0.2841723E+002   0.1734622E+001
  -0.1340150E+002   0.6347987E-001
  -0.9631000E+001  -0.1136148E+000
  -0.8448388E+001   0.3630948E+000
  -0.9897995E+001   0.9033901E+000
  -0.1562943E+002   0.1479128E+001
  -0.2656607E+002   0.3313963E+001
  -0.2418996E+002   0.1147411E+001
  -0.1538805E+002   0.1812008E+001
  -0.1125134E+002   0.1440241E+001
  -0.8705607E+001   0.1090393E+001
  -0.5551638E+001   0.6152592E+000
  -0.3800731E+001   0.2535161E+000
  -0.4492127E+001   0.5634463E-001
  -0.8532617E+001   0.1685318E+000
  -0.1356194E+002   0.4242686E+000
  -0.1399375E+002   0.6967039E+000
  -0.8554568E+001   0.1515535E+000
  -0.5054275E+001  -0.7295469E-001
  -0.3455285E+001   0.1686339E+000
  -0.6652086E+001   0.8025971E+000
  -0.7123449E+001   0.3484332E-001
  -0.4811518E+001   0.1927079E+000
  -0.2123125E+001   0.7800381E-001
  -0.1851219E+001   0.2960460E-001
  -0.2625766E+001   0.6473173E-001
  -0.4969809E+001   0.1998604E+000
  -0.8079964E+001   0.2616042E+000
  -0.9381794E+001   0.1575897E+000
  -0.8334474E+001   0.2821504E-001
  -0.6516735E+001  -0.7544032E-002
  -0.4511562E+001  -0.5675511E-002
  -0.2672470E+001  -0.3513581E-002
  -0.1616244E+001  -0.1586659E-002
  -0.1297137E+001   0.1792562E-003
  -0.1700511E+001   0.4849841E-002
  -0.3853318E+001  -0.3878226E-001
  -0.1075912E+002  -0.5964617E-001
  -0.2477459E+002  -0.2727420E+000
  -0.3787143E+002  -0.1152653E-001
  -0.3624004E+002   0.7212525E+000
  -0.2242921E+002   0.6546495E+000
  -0.1194512E+002   0.1604583E-001
