#dudx    dudy    dudz    dvdx    dvdy    dvdz    dwdx    dwdy    dwdz   div(u)  S_norm
  -0.8249376E+001   0.1989422E+002   0.1467289E+002   0.5398938E+002  -0.3715868E+002  -0.2885773E+002  -0.9864301E+002   0.1193683E+003   0.4357316E+002  -0.1834897E+001   0.1369728E+005
  -0.6881392E+001   0.8543115E+001   0.1258970E+002   0.4031664E+002  -0.2828838E+002  -0.2361932E+002  -0.1072565E+003   0.7173050E+002   0.3261574E+002  -0.2554032E+001   0.8741076E+004
  -0.1917666E+002  -0.9761515E+001   0.1666265E+001   0.8133195E+001  -0.2305877E+002  -0.1986725E+002   0.1643242E+002   0.3613752E+002   0.3940126E+002  -0.2834164E+001   0.2746701E+004
  -0.2026681E+002  -0.1553620E+002  -0.1007728E+002  -0.3041955E+002  -0.2442970E+002  -0.1846742E+002   0.1366542E+003   0.2539879E+002   0.4189864E+002  -0.2797870E+001   0.1185129E+005
  -0.3021942E+002  -0.9816988E+001  -0.1656925E+002  -0.3758162E+002  -0.3117002E+002  -0.2147938E+002   0.2467639E+003   0.2520449E+002   0.6094702E+002  -0.4424239E+000   0.3322430E+005
  -0.3596198E+002   0.9728730E+001  -0.1397391E+002  -0.5290086E+002  -0.3326194E+002  -0.2089692E+002   0.2257663E+003   0.1079375E+002   0.6918762E+002  -0.3630597E-001   0.3059751E+005
  -0.3276828E+002   0.2108917E+002  -0.1287897E+002  -0.4284871E+002  -0.2956751E+002  -0.1503760E+002   0.1928608E+003  -0.2018357E+002   0.6207811E+002  -0.2576793E+000   0.2285541E+005
  -0.1571596E+002   0.2462330E+002  -0.1209426E+002  -0.3602121E+002  -0.2151924E+002  -0.9045195E+001   0.9741091E+002  -0.6359492E+002   0.3691655E+002  -0.3186519E+000   0.8415582E+004
   0.5680108E+001   0.2273303E+002  -0.1262339E+002  -0.1311650E+002  -0.1440157E+002  -0.3418868E+001   0.3811915E+002  -0.1078230E+003   0.8246360E+001  -0.4751063E+000   0.6866228E+004
   0.2638058E+002   0.1939762E+002  -0.1751426E+002   0.6030211E+001  -0.1437202E+002  -0.2895173E+001   0.8287434E+002  -0.1543559E+003  -0.1242583E+002  -0.4172696E+000   0.1588004E+005
   0.3818967E+002   0.1764226E+002  -0.2383336E+002   0.1460509E+002  -0.1549201E+002  -0.3446748E+001   0.1567442E+003  -0.1900870E+003  -0.2295225E+002  -0.2545821E+000   0.3030549E+005
   0.4061860E+002   0.1669458E+002  -0.2626546E+002   0.2570729E+002  -0.1366535E+002  -0.1457264E+001   0.1677365E+003  -0.1932085E+003  -0.2700841E+002  -0.5515728E-001   0.3241943E+005
   0.3928437E+002   0.1491807E+002  -0.2459547E+002   0.4482769E+002  -0.9654627E+001   0.9408653E+000   0.6167196E+002  -0.1273522E+003  -0.2954456E+002   0.8518276E-001   0.1297138E+005
   0.2425798E+002   0.1701234E+002  -0.1990140E+002   0.5418492E+002   0.1632928E+001   0.1983107E+000  -0.1535329E+003   0.2251897E+002  -0.2578322E+002   0.1076921E+000   0.1908818E+005
   0.2117186E+001   0.2696840E+002  -0.1331599E+002   0.3765055E+002   0.2193136E+002  -0.2084840E+001  -0.3506025E+003   0.1746093E+003  -0.2392902E+002   0.1195264E+000   0.8424654E+005
  -0.6119839E+001   0.4200310E+002  -0.3624475E+001   0.2124228E+002   0.3775650E+002  -0.6059537E-001  -0.5013306E+003   0.2534647E+003  -0.3139624E+002   0.2404295E+000   0.1640453E+006
  -0.1279410E+001   0.5036390E+002   0.7527182E+001  -0.1023132E+002   0.4441854E+002   0.7871823E+000  -0.5063802E+003   0.2249269E+003  -0.4095888E+002   0.2180251E+001   0.1543566E+006
  -0.1306092E+001   0.4580072E+002   0.9051487E+001  -0.9766723E+001   0.3678587E+002   0.2422358E+001  -0.3628607E+003   0.1460002E+003  -0.3534836E+002   0.1314166E+000   0.7685874E+005
  -0.1625221E+002   0.3935267E+002   0.3008526E+001  -0.2786697E+001   0.2746314E+002  -0.1739344E+001  -0.1415428E+003   0.6050824E+002  -0.1236716E+002  -0.1156222E+001   0.1316216E+005
  -0.3251763E+002   0.3490807E+002  -0.7593844E+001   0.2815254E+002   0.1208661E+002  -0.3789865E+001   0.1285424E+003  -0.3916389E+002   0.1864141E+002  -0.1789616E+001   0.1177503E+005
  -0.2260227E+002   0.3333113E+002  -0.7432454E+001   0.3261277E+002  -0.3378520E+001   0.3518251E+001   0.2138289E+003  -0.1172220E+003   0.2656643E+002   0.5856357E+000   0.3116624E+005
  -0.3744287E+001   0.3010663E+002  -0.4583706E+000   0.2718733E+002  -0.1306598E+002   0.9324063E+001   0.1852359E+003  -0.1476584E+003   0.1975951E+002   0.2949249E+001   0.2885315E+005
   0.2479304E+001   0.2161520E+002   0.9754675E+001  -0.5769698E+001  -0.1190436E+002   0.1552203E+002   0.1250214E+003  -0.1139104E+003   0.1006707E+002   0.6420101E+000   0.1429704E+005
   0.3448360E+001   0.6716096E+001   0.1781504E+002  -0.3502454E+002  -0.5873690E+001   0.1312716E+002   0.9036011E+002  -0.4155019E+002   0.1671235E+001  -0.7540950E+000   0.6704544E+004
   0.1113948E+002  -0.1437818E+002   0.1975933E+002  -0.5399013E+002  -0.9561509E+001   0.1348024E+002   0.6091040E+002  -0.8034686E+001  -0.2061346E+001  -0.4833734E+000   0.5825424E+004
   0.1744609E+002  -0.2722325E+002   0.1528406E+002  -0.5348134E+002  -0.1202300E+002   0.1307995E+002   0.2650031E+001  -0.8353362E+001  -0.5522923E+001  -0.9984129E-001   0.3908019E+004
   0.1196044E+002  -0.2518211E+002   0.8616606E+001  -0.2874301E+002  -0.1171628E+002   0.1281642E+002  -0.4002243E+002  -0.5150932E+002  -0.3795906E+000  -0.1354280E+000   0.2976154E+004
   0.8344341E+000  -0.1053936E+002   0.2146516E+001  -0.1197627E+002  -0.4075995E+001   0.1020461E+002  -0.3165314E+002  -0.7695884E+002   0.2690301E+001  -0.5512595E+000   0.2941307E+004
  -0.8914323E+001  -0.4935668E+001  -0.1144030E+001  -0.7513331E+001   0.6360473E+001   0.5917829E+001   0.3024554E+002  -0.6454586E+002   0.1994508E+001  -0.5593418E+000   0.2343355E+004
   0.4279354E+001  -0.8326692E+001   0.1344136E+000  -0.1224054E+002   0.1169567E+002   0.1341192E+001   0.7974531E+002  -0.2262343E+002  -0.1596203E+002   0.1299379E-001   0.4038246E+004
   0.3811653E+002  -0.5813863E+001   0.1956985E+001  -0.5788552E+001   0.9771716E+001  -0.6177939E+000   0.1064358E+003   0.2185430E+002  -0.4612636E+002   0.1761880E+001   0.9842268E+004
   0.7085623E+002   0.2990576E+001   0.2491066E+001   0.3522716E+001   0.3397270E+000  -0.2405127E+001   0.1163005E+003   0.4084187E+002  -0.6818969E+002   0.3006274E+001   0.1748316E+005
   0.7675435E+002   0.1092156E+002   0.3669557E+001   0.1476579E+002  -0.1123429E+002  -0.6254989E+001   0.1048797E+003   0.3614301E+002  -0.6322073E+002   0.2299338E+001   0.1668057E+005
   0.4508617E+002   0.1330119E+001   0.6640404E+001   0.2118203E+002  -0.1099536E+002  -0.1011557E+002   0.3693078E+002   0.1412102E+002  -0.3308269E+002   0.1008129E+001   0.4458431E+004
  -0.7115048E+001  -0.2188991E+002   0.1599972E+002   0.1207028E+002  -0.2609095E+001  -0.9969297E+001  -0.5254994E+002  -0.2629395E+002   0.9996860E+001   0.2727170E+000   0.1531027E+004
  -0.5352794E+002  -0.4641118E+002   0.2386839E+002  -0.9822184E+001   0.7304460E+001  -0.2614376E+001  -0.1344945E+003  -0.8769211E+002   0.4583575E+002  -0.3877335E+000   0.1679725E+005
  -0.6217334E+002  -0.5019419E+002   0.2435554E+002  -0.2360019E+002   0.4651285E+001   0.2156314E+001  -0.1150176E+003  -0.9026257E+002   0.5576958E+002  -0.1752480E+001   0.1771035E+005
  -0.4637070E+002  -0.3266119E+002   0.2063106E+002  -0.1631859E+002  -0.1007037E+002  -0.2900815E+001  -0.7341872E+002  -0.2731128E+002   0.5399282E+002  -0.2448247E+001   0.8214044E+004
  -0.1934205E+002  -0.3174068E+001   0.1324473E+002   0.1201885E+002  -0.3007851E+002  -0.1541413E+002  -0.1476933E+002   0.7633186E+002   0.4699174E+002  -0.2428811E+001   0.5380851E+004
  -0.7274715E+001   0.1648305E+002   0.1038393E+002   0.3796922E+002  -0.4007226E+002  -0.2661407E+002  -0.2906777E+002   0.1399296E+003   0.4526444E+002  -0.2082540E+001   0.1178340E+005
  -0.9552776E+001  -0.1238649E+002   0.1768699E+002   0.5527314E+002  -0.3873911E+002  -0.1102657E+002  -0.1246139E+003   0.1803018E+003   0.4782728E+002  -0.4646024E+000   0.2484273E+005
