 # filt(alp*rho*Vry/tfpF)    filt(alp*rho*Vry)/filt(tfpF)
  -0.3808331E+002  -0.3535562E+002
  -0.1087080E+003  -0.1101240E+003
  -0.1690428E+003  -0.1683300E+003
  -0.2103733E+003  -0.2107012E+003
  -0.2459672E+003  -0.2461356E+003
  -0.2864664E+003  -0.2861601E+003
  -0.3225978E+003  -0.3204004E+003
  -0.3493581E+003  -0.3467412E+003
  -0.3540010E+003  -0.3547273E+003
  -0.3087056E+003  -0.3125243E+003
  -0.2337246E+003  -0.2352951E+003
  -0.1392057E+003  -0.1399929E+003
  -0.8023030E+002  -0.8231973E+002
  -0.5161107E+002  -0.5342755E+002
  -0.4756053E+002  -0.5152682E+002
  -0.4971760E+002  -0.5372247E+002
  -0.6089888E+002  -0.6162193E+002
  -0.8011480E+002  -0.7853646E+002
  -0.9358215E+002  -0.9244939E+002
  -0.7757555E+002  -0.7430917E+002
  -0.3412516E+002  -0.3521988E+002
   0.4940616E+002   0.3622444E+002
   0.1559247E+003   0.1204294E+003
   0.2564498E+003   0.2152071E+003
   0.3201442E+003   0.2885984E+003
   0.3198993E+003   0.3126040E+003
   0.2792451E+003   0.2842709E+003
   0.2081203E+003   0.2150998E+003
   0.1501463E+003   0.1532633E+003
   0.9442870E+002   0.9868231E+002
   0.6664422E+002   0.7372937E+002
   0.3868778E+002   0.4570040E+002
   0.1672030E+002   0.1944672E+002
   0.1237159E+001   0.3536840E+001
  -0.1847221E+002  -0.1622417E+002
  -0.2963465E+002  -0.2862543E+002
  -0.1868564E+002  -0.1764364E+002
   0.4430668E+001   0.5576103E+001
   0.2755151E+002   0.3094720E+002
   0.1398793E+002   0.2231765E+002
   0.1379931E+002   0.1927245E+002
  -0.4590750E+002  -0.4675884E+002
  -0.1254216E+003  -0.1262177E+003
  -0.1957762E+003  -0.1911550E+003
  -0.3114816E+003  -0.2902281E+003
  -0.3964897E+003  -0.3683152E+003
  -0.4165807E+003  -0.3931652E+003
  -0.3715721E+003  -0.3627341E+003
  -0.2896060E+003  -0.2914684E+003
  -0.2309627E+003  -0.2336761E+003
  -0.1622812E+003  -0.1630881E+003
  -0.8950965E+002  -0.9036625E+002
  -0.4884678E+002  -0.5211411E+002
  -0.3921309E+002  -0.4362726E+002
  -0.5530872E+002  -0.6204894E+002
  -0.7064243E+002  -0.7509658E+002
  -0.7952755E+002  -0.7949318E+002
  -0.9119922E+002  -0.8959651E+002
  -0.7918188E+002  -0.7807821E+002
  -0.3914426E+002  -0.4007263E+002
   0.3955824E+002   0.3173767E+002
   0.1329833E+003   0.1138975E+003
   0.2225284E+003   0.1903530E+003
   0.2852262E+003   0.2517355E+003
   0.3068708E+003   0.2818586E+003
   0.3027727E+003   0.2944227E+003
   0.2839017E+003   0.2850621E+003
   0.2487465E+003   0.2542825E+003
   0.2171657E+003   0.2215754E+003
   0.1811753E+003   0.1862597E+003
   0.1774928E+003   0.1874557E+003
   0.1802429E+003   0.1951727E+003
   0.1845811E+003   0.1904190E+003
   0.1723280E+003   0.1745027E+003
   0.1403293E+003   0.1479660E+003
   0.1121762E+003   0.1199120E+003
   0.1002670E+003   0.1050073E+003
   0.9278768E+002   0.9407572E+002
   0.8552193E+002   0.8609171E+002
   0.6383302E+002   0.7296805E+002
   0.7769578E+002   0.8123603E+002
   0.3923319E+002   0.4047413E+002
  -0.9951326E+001  -0.9692633E+001
  -0.1277576E+003  -0.1112075E+003
  -0.3055138E+003  -0.2512758E+003
  -0.4402372E+003  -0.3733171E+003
  -0.4470879E+003  -0.3897555E+003
  -0.3043900E+003  -0.2811266E+003
  -0.1510709E+003  -0.1501547E+003
  -0.7395748E+002  -0.7509326E+002
  -0.4748712E+002  -0.4946063E+002
  -0.5159140E+002  -0.5445618E+002
  -0.7658680E+002  -0.8037445E+002
  -0.1021410E+003  -0.1069827E+003
  -0.1191234E+003  -0.1237283E+003
  -0.1159190E+003  -0.1165605E+003
  -0.1080888E+003  -0.1070780E+003
  -0.1029787E+003  -0.1011817E+003
  -0.8059097E+002  -0.7989475E+002
  -0.3401341E+002  -0.3513289E+002
   0.3974678E+002   0.3354538E+002
   0.1080197E+003   0.9205266E+002
   0.1753599E+003   0.1500651E+003
   0.2091265E+003   0.1831282E+003
   0.2151776E+003   0.1974985E+003
   0.2089208E+003   0.2035644E+003
   0.2086277E+003   0.2116534E+003
   0.2334789E+003   0.2384133E+003
   0.2639844E+003   0.2672198E+003
   0.2851275E+003   0.2905396E+003
   0.3262920E+003   0.3325748E+003
   0.3369679E+003   0.3520353E+003
   0.3408541E+003   0.3459443E+003
   0.3092313E+003   0.3051191E+003
   0.2731131E+003   0.2780892E+003
   0.2271554E+003   0.2358823E+003
   0.1765866E+003   0.1811538E+003
   0.1347499E+003   0.1358201E+003
   0.1063604E+003   0.1067671E+003
   0.9595935E+002   0.9804645E+002
   0.1189529E+003   0.1243255E+003
   0.8284439E+002   0.8880058E+002
   0.1252088E+002   0.1476208E+002
  -0.1249199E+003  -0.1022841E+003
  -0.3287711E+003  -0.2559220E+003
  -0.4771614E+003  -0.3903820E+003
  -0.4826739E+003  -0.4043480E+003
  -0.3282637E+003  -0.2895997E+003
  -0.1397584E+003  -0.1313574E+003
  -0.4929583E+002  -0.4751764E+002
  -0.5088593E+002  -0.5244523E+002
  -0.1114290E+003  -0.1121424E+003
  -0.1621959E+003  -0.1634157E+003
  -0.1789082E+003  -0.1809121E+003
  -0.1688247E+003  -0.1703423E+003
  -0.1456030E+003  -0.1475962E+003
  -0.1321696E+003  -0.1331966E+003
  -0.1185015E+003  -0.1184510E+003
  -0.9256286E+002  -0.9249197E+002
  -0.4603667E+002  -0.4736559E+002
   0.2803428E+001  -0.3014760E+001
   0.2797720E+002   0.1571412E+002
   0.3405413E+002   0.2169323E+002
   0.2426634E+002   0.1467343E+002
   0.2752566E+002   0.2617036E+002
   0.4887230E+002   0.5121552E+002
   0.9961167E+002   0.1048186E+003
   0.1891442E+003   0.1908405E+003
   0.2887918E+003   0.2882442E+003
   0.3784821E+003   0.3819016E+003
   0.4428653E+003   0.4457274E+003
   0.4818081E+003   0.4972772E+003
   0.4799021E+003   0.4944770E+003
   0.4504727E+003   0.4510995E+003
   0.3855390E+003   0.3884302E+003
   0.3142045E+003   0.3148123E+003
   0.2404841E+003   0.2366482E+003
   0.1848025E+003   0.1815529E+003
   0.1522604E+003   0.1532962E+003
   0.1359769E+003   0.1409174E+003
   0.1298374E+003   0.1366975E+003
   0.1026414E+003   0.1110234E+003
   0.4652084E+002   0.4899734E+002
  -0.8286943E+002  -0.6087822E+002
  -0.2299531E+003  -0.1640685E+003
  -0.3416640E+003  -0.2682374E+003
  -0.3519475E+003  -0.2802875E+003
  -0.2590845E+003  -0.2194494E+003
  -0.1792326E+003  -0.1612000E+003
  -0.1431764E+003  -0.1319006E+003
  -0.1720206E+003  -0.1681368E+003
  -0.2262746E+003  -0.2260405E+003
  -0.2527844E+003  -0.2536020E+003
  -0.2473693E+003  -0.2479372E+003
  -0.2092632E+003  -0.2087628E+003
  -0.1680244E+003  -0.1677490E+003
  -0.1436220E+003  -0.1443358E+003
  -0.1187707E+003  -0.1204198E+003
  -0.9958663E+002  -0.1001197E+003
  -0.6453231E+002  -0.6639053E+002
  -0.5350291E+002  -0.5713723E+002
  -0.6453046E+002  -0.6716994E+002
  -0.6062346E+002  -0.6500573E+002
  -0.5574348E+002  -0.5840492E+002
  -0.2608656E+002  -0.2617599E+002
  -0.3925897E+001  -0.3545689E+001
   0.3971119E+002   0.3973617E+002
   0.1410396E+003   0.1408130E+003
   0.2572836E+003   0.2541083E+003
   0.3694051E+003   0.3649975E+003
   0.4437418E+003   0.4358750E+003
   0.4915247E+003   0.4943621E+003
   0.5179788E+003   0.5303814E+003
   0.5133968E+003   0.5196062E+003
   0.4714621E+003   0.4726446E+003
   0.3832226E+003   0.3777262E+003
   0.2724977E+003   0.2655616E+003
   0.1852142E+003   0.1816095E+003
   0.1426319E+003   0.1433407E+003
   0.1359788E+003   0.1392404E+003
   0.1144686E+003   0.1168071E+003
   0.9492299E+002   0.9813088E+002
   0.4372656E+002   0.4624812E+002
  -0.8231181E+000   0.1532480E+002
  -0.7021736E+000   0.3846016E+002
  -0.1307958E+002   0.3658848E+002
  -0.3379054E+002   0.7216287E+001
  -0.8492968E+002  -0.6220384E+002
  -0.1278351E+003  -0.1157543E+003
  -0.1501204E+003  -0.1440666E+003
  -0.1974322E+003  -0.1987739E+003
  -0.2419310E+003  -0.2463935E+003
  -0.2597138E+003  -0.2626801E+003
  -0.2509037E+003  -0.2512160E+003
  -0.2216621E+003  -0.2200437E+003
  -0.1926313E+003  -0.1905006E+003
  -0.1708110E+003  -0.1706589E+003
  -0.1504069E+003  -0.1535071E+003
  -0.1382149E+003  -0.1379292E+003
  -0.1169578E+003  -0.1177109E+003
  -0.1166147E+003  -0.1179400E+003
  -0.1130481E+003  -0.1135336E+003
  -0.9566667E+002  -0.9781986E+002
  -0.6865207E+002  -0.7117778E+002
  -0.4849522E+002  -0.4902646E+002
  -0.3669851E+002  -0.3672412E+002
  -0.4897812E+001  -0.9111654E+001
   0.7763918E+002   0.7351540E+002
   0.1701456E+003   0.1674070E+003
   0.2498519E+003   0.2462289E+003
   0.2994402E+003   0.2932988E+003
   0.3405368E+003   0.3357502E+003
   0.3606762E+003   0.3606127E+003
   0.3549268E+003   0.3563554E+003
   0.3092889E+003   0.3098979E+003
   0.2442737E+003   0.2417970E+003
   0.1755525E+003   0.1747466E+003
   0.1280631E+003   0.1282760E+003
   0.1111993E+003   0.1112347E+003
   0.1152226E+003   0.1164348E+003
   0.4821932E+002   0.4979406E+002
   0.4517183E+002   0.4764576E+002
   0.4489193E+002   0.4935220E+002
   0.8008865E+002   0.9682515E+002
   0.1630486E+003   0.1982396E+003
   0.1969727E+003   0.2410130E+003
   0.1654917E+003   0.1920207E+003
   0.6192003E+002   0.7772057E+002
  -0.2594844E+002  -0.1770035E+002
  -0.8845403E+002  -0.8467505E+002
  -0.1413127E+003  -0.1406064E+003
  -0.1853685E+003  -0.1849310E+003
  -0.2080081E+003  -0.2085953E+003
  -0.2210361E+003  -0.2229150E+003
  -0.2214107E+003  -0.2226514E+003
  -0.2169744E+003  -0.2158746E+003
  -0.2095129E+003  -0.2090980E+003
  -0.1978386E+003  -0.2002529E+003
  -0.1847475E+003  -0.1827144E+003
  -0.1597879E+003  -0.1572631E+003
  -0.1486231E+003  -0.1481410E+003
  -0.1227792E+003  -0.1224021E+003
  -0.9212506E+002  -0.9258895E+002
  -0.5836605E+002  -0.6029769E+002
  -0.4120074E+002  -0.4173773E+002
  -0.4171419E+002  -0.4184602E+002
  -0.3184583E+002  -0.3514665E+002
   0.1508761E+001  -0.3353542E+001
   0.2206975E+002   0.1820310E+002
   0.3040036E+002   0.2360577E+002
   0.8696586E+001  -0.1092835E+001
  -0.2318880E+002  -0.3132835E+002
  -0.2867098E+002  -0.3026807E+002
   0.3834877E+001   0.8609460E+001
   0.6465968E+002   0.6819680E+002
   0.1026438E+003   0.9951732E+002
   0.8987813E+002   0.8862143E+002
   0.6170206E+002   0.6195776E+002
   0.4141305E+002   0.4152664E+002
   0.4051420E+002   0.4141916E+002
   0.4125069E+001   0.5049984E+001
   0.1692622E+002   0.1833468E+002
   0.3959592E+002   0.4385252E+002
   0.1216477E+003   0.1347883E+003
   0.2470316E+003   0.2717594E+003
   0.3151000E+003   0.3443121E+003
   0.2926576E+003   0.3083549E+003
   0.1890140E+003   0.2008144E+003
   0.9029959E+002   0.9545901E+002
   0.2411010E+002   0.2449172E+002
  -0.3341337E+002  -0.3239510E+002
  -0.8641074E+002  -0.8544718E+002
  -0.1314078E+003  -0.1331583E+003
  -0.1682631E+003  -0.1718259E+003
  -0.1911720E+003  -0.1957297E+003
  -0.2022769E+003  -0.2030350E+003
  -0.2074133E+003  -0.2066573E+003
  -0.2061653E+003  -0.2067091E+003
  -0.1942758E+003  -0.1928059E+003
  -0.1622727E+003  -0.1594032E+003
  -0.1334806E+003  -0.1329101E+003
  -0.8447924E+002  -0.8530637E+002
  -0.5909529E+002  -0.5966792E+002
  -0.3471409E+002  -0.3660489E+002
  -0.3203212E+002  -0.3280429E+002
  -0.3092742E+002  -0.3137246E+002
  -0.3214967E+002  -0.3309341E+002
  -0.4385179E+002  -0.4590530E+002
  -0.6700130E+002  -0.7123216E+002
  -0.1219578E+003  -0.1286795E+003
  -0.1913986E+003  -0.2074941E+003
  -0.2658252E+003  -0.2774201E+003
  -0.3084997E+003  -0.3072718E+003
  -0.2829779E+003  -0.2714239E+003
  -0.2033681E+003  -0.1883521E+003
  -0.1118186E+003  -0.1075470E+003
  -0.5400449E+002  -0.5322786E+002
  -0.3858931E+002  -0.3801882E+002
  -0.3307139E+002  -0.3241517E+002
  -0.1318460E+002  -0.1288259E+002
  -0.3951225E+002  -0.3998800E+002
  -0.1924143E+002  -0.1881633E+002
   0.2989103E+002   0.3063474E+002
   0.1154434E+003   0.1174662E+003
   0.2136789E+003   0.2223094E+003
   0.2648704E+003   0.2788784E+003
   0.2441519E+003   0.2528102E+003
   0.1742201E+003   0.1828836E+003
   0.1053031E+003   0.1090592E+003
   0.5410544E+002   0.5228445E+002
   0.1452661E+002   0.1381790E+002
  -0.3655539E+002  -0.3591770E+002
  -0.8880385E+002  -0.8988947E+002
  -0.1271399E+003  -0.1291426E+003
  -0.1498104E+003  -0.1545732E+003
