# <alp>   <alp2>    <alp/alpg>   <alpg/alp>    <alp^2/alpg>    <alp^2/alpg^2>
   0.7272149E-002   0.5748225E-004   0.7330130E-002   0.1471634E+003   0.5798130E-004   0.5848503E-004
   0.8546677E-002   0.7717324E-004   0.8624597E-002   0.1218602E+003   0.7791985E-004   0.7867414E-004
   0.2967014E-001   0.9050787E-003   0.3060438E-001   0.3388087E+002   0.9342421E-003   0.9643637E-003
   0.4396578E-001   0.2022051E-002   0.4608972E-001   0.2286265E+002   0.2123942E-002   0.2231167E-002
   0.4758904E-001   0.2336719E-002   0.5004996E-001   0.2080006E+002   0.2460911E-002   0.2591864E-002
   0.3549773E-001   0.1291144E-002   0.3683886E-001   0.2787542E+002   0.1341127E-002   0.1393092E-002
   0.2334929E-001   0.5510310E-003   0.2391380E-001   0.4226521E+002   0.5645050E-003   0.5783124E-003
   0.2804043E-001   0.8367149E-003   0.2890461E-001   0.3678078E+002   0.8641890E-003   0.8926201E-003
   0.3096425E-001   0.9950017E-003   0.3199332E-001   0.3283515E+002   0.1029076E-002   0.1064347E-002
   0.1938570E-001   0.4191183E-003   0.1981512E-001   0.5609030E+002   0.4294186E-003   0.4399950E-003
   0.2608952E-001   0.7192042E-003   0.2683018E-001   0.3963386E+002   0.7406643E-003   0.7627926E-003
   0.9288194E-001   0.9019000E-002   0.1029171E+000   0.1031287E+002   0.1003519E-001   0.1117040E-001
   0.1660883E+000   0.3042831E-001   0.2039152E+000   0.6179316E+001   0.3782686E-001   0.4711758E-001
   0.2379295E-001   0.6560058E-003   0.2447008E-001   0.4808675E+002   0.6771258E-003   0.6989935E-003
   0.1353520E-001   0.1924638E-003   0.1373057E-001   0.7659864E+002   0.1953771E-003   0.1983364E-003
   0.2485044E-001   0.6255362E-003   0.2549234E-001   0.3978102E+002   0.6418992E-003   0.6586955E-003
   0.3836076E-001   0.2785408E-002   0.4147880E-001   0.4404763E+002   0.3118043E-002   0.3497248E-002
   0.3315491E+000   0.1282894E+000   0.5541029E+000   0.3401832E+001   0.2225538E+000   0.3917090E+000
   0.2659585E+000   0.8244736E-001   0.3924513E+000   0.3826653E+001   0.1264928E+000   0.1967685E+000
   0.1687554E+000   0.3048169E-001   0.2065749E+000   0.5374345E+001   0.3781952E-001   0.4705569E-001
   0.9804494E-001   0.1140373E-001   0.1111678E+000   0.1222569E+002   0.1312282E-001   0.1512529E-001
   0.2521569E-001   0.9291929E-003   0.2619358E-001   0.5472260E+002   0.9778853E-003   0.1029659E-002
   0.9307284E-002   0.9184742E-004   0.9400116E-002   0.1116566E+003   0.9283135E-004   0.9382672E-004
   0.1055732E-001   0.1135235E-003   0.1067210E-001   0.9554918E+002   0.1147795E-003   0.1160496E-003
   0.1273316E-001   0.1631871E-003   0.1289848E-001   0.7807505E+002   0.1653188E-003   0.1674786E-003
   0.1831357E-001   0.3460332E-003   0.1866651E-001   0.5515028E+002   0.3529398E-003   0.3599897E-003
   0.4968607E-001   0.2646436E-002   0.5249174E-001   0.2074318E+002   0.2805676E-002   0.2975060E-002
   0.7882525E-001   0.6424008E-002   0.8584169E-001   0.1210687E+002   0.7016442E-002   0.7665514E-002
   0.1101101E+000   0.1314317E-001   0.1251942E+000   0.8913306E+001   0.1508413E-001   0.1733118E-001
   0.4911206E-001   0.2901892E-002   0.5224836E-001   0.2226294E+002   0.3136300E-002   0.3394602E-002
   0.2491319E-001   0.6236426E-003   0.2555293E-001   0.3932928E+002   0.6397363E-003   0.6562474E-003
   0.2020413E-001   0.4089438E-003   0.2062154E-001   0.4858580E+002   0.4174077E-003   0.4260470E-003
   0.2287187E-001   0.5320032E-003   0.2341681E-001   0.4334405E+002   0.5449388E-003   0.5581967E-003
   0.2202686E-001   0.4867481E-003   0.2252465E-001   0.4454133E+002   0.4977854E-003   0.5090739E-003
   0.4539226E-001   0.2396684E-002   0.4794281E-001   0.2443585E+002   0.2550550E-002   0.2715312E-002
   0.6039630E-001   0.3857571E-002   0.6453431E-001   0.1649894E+002   0.4138001E-002   0.4440103E-002
   0.4351224E-001   0.2041815E-002   0.4566324E-001   0.2362803E+002   0.2150997E-002   0.2266463E-002
   0.2035651E-001   0.4226392E-003   0.2078828E-001   0.4914974E+002   0.4317750E-003   0.4411118E-003
   0.1611260E-001   0.2627082E-003   0.1637971E-001   0.6177457E+002   0.2671178E-003   0.2716023E-003
   0.1370808E-001   0.1927124E-003   0.1390360E-001   0.7428317E+002   0.1955172E-003   0.1983635E-003
   0.1712539E-001   0.3510960E-003   0.1748473E-001   0.7333850E+002   0.3593405E-003   0.3677923E-003
   0.2233172E-001   0.5193070E-003   0.2286386E-001   0.4586687E+002   0.5321414E-003   0.5453037E-003
   0.1128139E-001   0.1401850E-003   0.1142353E-001   0.9537533E+002   0.1421438E-003   0.1441327E-003
   0.2445412E-001   0.6644931E-003   0.2513861E-001   0.4604506E+002   0.6844992E-003   0.7051376E-003
   0.3161421E-001   0.1067750E-002   0.3272225E-001   0.3251689E+002   0.1108040E-002   0.1149971E-002
   0.2528687E-001   0.6584600E-003   0.2596359E-001   0.3950214E+002   0.6767275E-003   0.6955236E-003
   0.6021364E-001   0.3710775E-002   0.6417359E-001   0.1606834E+002   0.3959954E-002   0.4226185E-002
   0.4845324E-001   0.2656868E-002   0.5127985E-001   0.2317417E+002   0.2826605E-002   0.3007900E-002
   0.1261411E-001   0.1643846E-003   0.1278075E-001   0.8052994E+002   0.1666400E-003   0.1689276E-003
   0.4381586E-001   0.2685421E-002   0.4672852E-001   0.3255860E+002   0.2912662E-002   0.3162457E-002
   0.1203463E+000   0.1587131E-001   0.1388350E+000   0.8391475E+001   0.1848877E-001   0.2156210E-001
   0.6869516E-001   0.5988783E-002   0.7536645E-001   0.1810320E+002   0.6671287E-002   0.7439062E-002
   0.2975064E-001   0.9322357E-003   0.3071461E-001   0.3449830E+002   0.9639648E-003   0.9968242E-003
   0.1722790E-001   0.3003913E-003   0.1753369E-001   0.5773205E+002   0.3057895E-003   0.3112859E-003
   0.1633241E-001   0.2717337E-003   0.1660882E-001   0.6148007E+002   0.2764108E-003   0.2811696E-003
   0.1265447E-001   0.1641300E-003   0.1282081E-001   0.8001530E+002   0.1663401E-003   0.1685806E-003
   0.1434668E-001   0.4007496E-003   0.1476859E-001   0.9920958E+002   0.4219054E-003   0.4445103E-003
   0.1166876E+000   0.2273161E-001   0.1468441E+000   0.2181742E+002   0.3015642E-001   0.4035826E-001
   0.9218725E-001   0.1214729E-001   0.1067481E+000   0.1762375E+002   0.1456081E-001   0.1754127E-001
   0.1803830E+000   0.3491804E-001   0.2241819E+000   0.5381928E+001   0.4379891E-001   0.5501897E-001
   0.8226007E-001   0.8696149E-002   0.9215793E-001   0.1752662E+002   0.9897860E-002   0.1128033E-001
   0.1009904E+000   0.1099135E-001   0.1134258E+000   0.9866884E+001   0.1243535E-001   0.1408012E-001
   0.6982251E-001   0.6813964E-002   0.7754590E-001   0.2235869E+002   0.7723395E-002   0.8767805E-002
   0.3223026E-001   0.1531262E-002   0.3386544E-001   0.4268038E+002   0.1635180E-002   0.1747432E-002
   0.1710289E-001   0.3525666E-003   0.1746445E-001   0.6663017E+002   0.3615554E-003   0.3708089E-003
   0.2235613E-001   0.5841414E-003   0.2295807E-001   0.5188646E+002   0.6019447E-003   0.6203404E-003
   0.4312330E-001   0.2309463E-002   0.4559593E-001   0.2767400E+002   0.2472634E-002   0.2649619E-002
   0.2072164E+000   0.4563594E-001   0.2665886E+000   0.4251931E+001   0.5937213E-001   0.7741329E-001
   0.7497920E-001   0.6745965E-002   0.8253971E-001   0.1478881E+002   0.7560511E-002   0.8489371E-002
   0.4096151E-001   0.1776573E-002   0.4282388E-001   0.2475961E+002   0.1862374E-002   0.1952575E-002
   0.3084902E-001   0.1140100E-002   0.3204121E-001   0.3697046E+002   0.1192195E-002   0.1246991E-002
   0.2557222E-001   0.7377896E-003   0.2633414E-001   0.4383640E+002   0.7619234E-003   0.7869004E-003
   0.4740609E-001   0.2360066E-002   0.4989532E-001   0.2134283E+002   0.2489237E-002   0.2625723E-002
   0.3807408E-001   0.1583991E-002   0.3973295E-001   0.2775468E+002   0.1658863E-002   0.1737527E-002
   0.6972698E-001   0.4951106E-002   0.7506428E-001   0.1360935E+002   0.5337303E-002   0.5754208E-002
   0.8870421E-001   0.7975530E-002   0.9748051E-001   0.1042658E+002   0.8776295E-002   0.9658734E-002
   0.2104968E-001   0.5013580E-003   0.2156501E-001   0.5191961E+002   0.5153346E-003   0.5297499E-003
   0.1518053E-001   0.2363704E-003   0.1542072E-001   0.6670824E+002   0.2401975E-003   0.2440880E-003
   0.1627025E-001   0.2665241E-003   0.1654124E-001   0.6089519E+002   0.2709929E-003   0.2755372E-003
   0.1461597E-001   0.2332038E-003   0.1485322E-001   0.7539677E+002   0.2372433E-003   0.2413562E-003
   0.2000066E-001   0.4381358E-003   0.2044949E-001   0.5354561E+002   0.4488318E-003   0.4598073E-003
   0.2018086E-001   0.4118886E-003   0.2060144E-001   0.4908840E+002   0.4205762E-003   0.4294493E-003
   0.1193239E-001   0.1510540E-003   0.1208550E-001   0.8783113E+002   0.1531065E-003   0.1551883E-003
   0.1520413E-001   0.2714080E-003   0.1548138E-001   0.7402209E+002   0.2772524E-003   0.2832420E-003
   0.6516863E-001   0.5024482E-002   0.7065866E-001   0.1878506E+002   0.5490027E-002   0.6001021E-002
   0.3121939E-001   0.1032475E-002   0.3228905E-001   0.3314257E+002   0.1069659E-002   0.1108239E-002
   0.3644722E-001   0.1353584E-002   0.3785408E-001   0.2694665E+002   0.1406868E-002   0.1462292E-002
   0.1890589E-001   0.3686738E-003   0.1928215E-001   0.5339916E+002   0.3762644E-003   0.3840169E-003
   0.4767092E-001   0.3106414E-002   0.5105253E-001   0.2862221E+002   0.3381603E-002   0.3684752E-002
   0.1734896E+000   0.3083721E-001   0.2111687E+000   0.4957312E+001   0.3767914E-001   0.4606961E-001
   0.1605835E+000   0.2703067E-001   0.1933701E+000   0.5605079E+001   0.3278664E-001   0.3981501E-001
   0.3130663E-001   0.1052086E-002   0.3239839E-001   0.3296116E+002   0.1091760E-002   0.1133052E-002
   0.2224248E-001   0.4987929E-003   0.2275281E-001   0.4430628E+002   0.5103387E-003   0.5221543E-003
   0.1889872E-001   0.3835184E-003   0.1929063E-001   0.5693627E+002   0.3919039E-003   0.4004799E-003
   0.8786022E-002   0.7786969E-004   0.8864594E-002   0.1138049E+003   0.7857221E-004   0.7928113E-004
   0.6820256E-002   0.4747954E-004   0.6868075E-002   0.1486972E+003   0.4781917E-004   0.4816127E-004
   0.5824791E-002   0.3403206E-004   0.5859024E-002   0.1711937E+003   0.3423270E-004   0.3443452E-004
   0.1109448E-001   0.1354464E-003   0.1123178E-001   0.9664110E+002   0.1373085E-003   0.1391990E-003
   0.3181604E-001   0.1564692E-002   0.3349598E-001   0.4370269E+002   0.1679939E-002   0.1805272E-002
   0.1018724E+000   0.1133401E-001   0.1147529E+000   0.1005432E+002   0.1288053E-001   0.1465409E-001
   0.2024780E-001   0.4164467E-003   0.2067313E-001   0.4916430E+002   0.4253350E-003   0.4344160E-003
   0.5574446E-001   0.3443406E-002   0.5944186E-001   0.1875965E+002   0.3697393E-002   0.3972094E-002
   0.1177556E+000   0.1442654E-001   0.1342889E+000   0.7863420E+001   0.1653332E-001   0.1895958E-001
   0.2211520E+000   0.5180559E-001   0.2902374E+000   0.3820730E+001   0.6908540E-001   0.9257505E-001
   0.6717303E-001   0.4729046E-002   0.7227842E-001   0.1464902E+002   0.5105390E-002   0.5513046E-002
   0.6115166E-001   0.3987296E-002   0.6543512E-001   0.1653044E+002   0.4283456E-002   0.4602769E-002
   0.1537719E+000   0.2462432E-001   0.1832740E+000   0.5884402E+001   0.2950203E-001   0.3537108E-001
   0.5360428E-001   0.3842105E-002   0.5784646E-001   0.2300229E+002   0.4242178E-002   0.4693050E-002
   0.2484854E-001   0.6343353E-003   0.2550000E-001   0.4025151E+002   0.6514605E-003   0.6690625E-003
   0.1865821E-001   0.5521779E-003   0.1923720E-001   0.6953450E+002   0.5789881E-003   0.6074502E-003
   0.9111316E-001   0.8715359E-002   0.1007982E+000   0.1057481E+002   0.9685053E-002   0.1076710E-001
   0.2026289E-001   0.4823894E-003   0.2075848E-001   0.5866055E+002   0.4955838E-003   0.5091650E-003
   0.3210529E-001   0.1071068E-002   0.3321469E-001   0.3146223E+002   0.1109392E-002   0.1149130E-002
   0.4575206E-001   0.2191312E-002   0.4805772E-001   0.2219457E+002   0.2305662E-002   0.2426137E-002
   0.5517139E-001   0.3064704E-002   0.5841763E-001   0.1725716E+002   0.3246248E-002   0.3438619E-002
   0.3340989E-001   0.1378811E-002   0.3485702E-001   0.4021446E+002   0.1447128E-002   0.1519144E-002
   0.3885874E-002   0.1609312E-004   0.3902039E-002   0.2701796E+003   0.1616509E-004   0.1623741E-004
   0.3636963E-002   0.1333667E-004   0.3650349E-002   0.2762150E+003   0.1338616E-004   0.1343584E-004
   0.6180837E-002   0.4111320E-004   0.6222249E-002   0.1712195E+003   0.4141155E-004   0.4171224E-004
   0.1278261E-001   0.1797274E-003   0.1296515E-001   0.8470520E+002   0.1825350E-003   0.1853898E-003
   0.1799649E-001   0.3292165E-003   0.1833194E-001   0.5547153E+002   0.3354564E-003   0.3418166E-003
   0.2295841E-001   0.5350123E-003   0.2350638E-001   0.4321509E+002   0.5479755E-003   0.5612577E-003
   0.1978335E-001   0.4010110E-003   0.2019286E-001   0.5088917E+002   0.4095030E-003   0.4181786E-003
   0.1156900E-001   0.1351170E-003   0.1170573E-001   0.8625159E+002   0.1367294E-003   0.1383612E-003
   0.5778096E-001   0.3618967E-002   0.6165649E-001   0.1835453E+002   0.3875530E-002   0.4150968E-002
   0.4083215E-001   0.1687905E-002   0.4259386E-001   0.2377871E+002   0.1761713E-002   0.1838794E-002
   0.3176004E-001   0.1017858E-002   0.3281194E-001   0.3075999E+002   0.1051898E-002   0.1087088E-002
   0.5591561E-001   0.4407668E-002   0.6082199E-001   0.2384243E+002   0.4906372E-002   0.5470586E-002
   0.1930931E+000   0.3822851E-001   0.2410875E+000   0.4330750E+001   0.4799439E-001   0.6033544E-001
   0.2671003E+000   0.7831056E-001   0.3835089E+000   0.3107173E+001   0.1164086E+000   0.1752627E+000
   0.1485373E+000   0.2484842E-001   0.1792041E+000   0.6566547E+001   0.3066677E-001   0.3802105E-001
   0.4183757E-001   0.1942525E-002   0.4388486E-001   0.2558977E+002   0.2047291E-002   0.2158206E-002
   0.2382423E-001   0.5707234E-003   0.2440904E-001   0.4122535E+002   0.5848055E-003   0.5992367E-003
   0.1281100E-001   0.1812534E-003   0.1299509E-001   0.8530071E+002   0.1840922E-003   0.1869785E-003
   0.6424865E-002   0.4153528E-004   0.6466673E-002   0.1556714E+003   0.4180713E-004   0.4208078E-004
   0.4649018E-002   0.2165685E-004   0.4670777E-002   0.2145098E+003   0.2175843E-004   0.2186048E-004
   0.9227309E-002   0.9699224E-004   0.9325521E-002   0.1186516E+003   0.9821123E-004   0.9944860E-004
   0.9200391E-001   0.9318440E-002   0.1024637E+000   0.1142095E+002   0.1045977E-001   0.1174951E-001
   0.7350125E-001   0.7184119E-002   0.8161349E-001   0.1950609E+002   0.8112237E-002   0.9171566E-002
   0.1830301E-001   0.3628782E-003   0.1867405E-001   0.5680099E+002   0.3710395E-003   0.3794067E-003
   0.3049865E-001   0.9669340E-003   0.3149841E-001   0.3320492E+002   0.9997561E-003   0.1033727E-002
   0.3119098E-001   0.9898407E-003   0.3221386E-001   0.3161815E+002   0.1022881E-002   0.1057043E-002
   0.7193122E-001   0.5934386E-002   0.7846810E-001   0.1530838E+002   0.6536883E-002   0.7205791E-002
   0.2702380E+000   0.7588789E-001   0.3773746E+000   0.2890795E+001   0.1071366E+000   0.1517641E+000
   0.4302668E-001   0.1926144E-002   0.4504704E-001   0.2316073E+002   0.2020363E-002   0.2119383E-002
   0.1508734E+000   0.2382963E-001   0.1794634E+000   0.5940809E+001   0.2858995E-001   0.3436018E-001
   0.1032951E+000   0.1383142E-001   0.1195683E+000   0.1635733E+002   0.1627312E-001   0.1917256E-001
   0.8648695E-002   0.8958625E-004   0.8739400E-002   0.1331995E+003   0.9070522E-004   0.9184020E-004
   0.2354065E-001   0.6517214E-003   0.2421321E-001   0.5171199E+002   0.6725592E-003   0.6941188E-003
   0.1352844E-001   0.2495964E-003   0.1378384E-001   0.1002078E+003   0.2553992E-003   0.2613530E-003
   0.1283356E-001   0.2212085E-003   0.1305956E-001   0.1052275E+003   0.2259955E-003   0.2308999E-003
   0.3120587E-001   0.9952991E-003   0.3223472E-001   0.3176507E+002   0.1028845E-002   0.1063548E-002
   0.4722567E-001   0.2584074E-002   0.4998034E-001   0.2396170E+002   0.2754670E-002   0.2937711E-002
   0.4270456E-001   0.2104355E-002   0.4493241E-001   0.2621429E+002   0.2227855E-002   0.2359242E-002
   0.3732256E-001   0.1527633E-002   0.3892098E-001   0.2874919E+002   0.1598418E-002   0.1672700E-002
   0.6490769E-002   0.4837680E-004   0.6539571E-002   0.1698046E+003   0.4880184E-004   0.4923119E-004
   0.4228412E-002   0.1805640E-004   0.4246547E-002   0.2379456E+003   0.1813457E-004   0.1821307E-004
   0.5417506E-002   0.2952942E-004   0.5447198E-002   0.1847377E+003   0.2969224E-004   0.2985596E-004
   0.8123841E-002   0.6684472E-004   0.8191248E-002   0.1236692E+003   0.6740649E-004   0.6797304E-004
   0.1337096E-001   0.1814068E-003   0.1355490E-001   0.7488729E+002   0.1839391E-003   0.1865072E-003
   0.2355718E-001   0.5572566E-003   0.2412799E-001   0.4162380E+002   0.5708183E-003   0.5847114E-003
   0.2725624E-001   0.7467708E-003   0.2802416E-001   0.3587946E+002   0.7679228E-003   0.7896771E-003
   0.2374250E-001   0.5662924E-003   0.2432270E-001   0.4130933E+002   0.5801966E-003   0.5944439E-003
   0.1897164E-001   0.3650627E-003   0.1934396E-001   0.5252962E+002   0.3723212E-003   0.3797259E-003
   0.5434076E-001   0.3934633E-002   0.5863392E-001   0.2709109E+002   0.4293162E-002   0.4686741E-002
   0.7389705E-001   0.6386164E-002   0.8097798E-001   0.1516838E+002   0.7080937E-002   0.7858806E-002
