#dalpdx  dalpdy   dalpdz
   0.2619697E+000   0.4365445E+001  -0.4009383E+000
   0.8088252E+000   0.2744657E+001  -0.6526190E+000
   0.1735172E+000   0.5301242E+000  -0.2833803E+000
   0.9919836E+000  -0.2839764E+000  -0.8894511E+000
   0.2704830E+001  -0.4030332E+000  -0.9968323E+000
   0.2315627E+001   0.2098849E+001  -0.2911374E+001
   0.3040454E+001   0.5400162E+001  -0.4752014E+001
   0.3267811E+001   0.5748624E+001  -0.4774275E+001
   0.6961288E+001   0.6568943E+001  -0.4634914E+001
   0.8797218E+001   0.4963659E+001  -0.3766633E+001
   0.9412444E+001   0.1811640E+001  -0.3754447E+001
   0.8862600E+001   0.3903939E+001  -0.3586476E+001
  -0.2928575E+001   0.6223159E+001  -0.2903367E+001
  -0.7771614E+001   0.3784409E+001  -0.3017455E+001
  -0.1416463E+002   0.3348624E+001  -0.2198842E+001
  -0.1298703E+002   0.1930871E+001  -0.1388835E+001
  -0.6857555E+001  -0.2658485E+001  -0.1665127E+001
  -0.3065077E+001  -0.1349116E+001  -0.1655911E+001
  -0.3071884E+000   0.4522491E+000  -0.3401907E+000
  -0.1242765E+000   0.1878898E+001   0.3146349E+000
  -0.1376234E+001   0.2572514E+001   0.1335104E+001
  -0.2246471E+000   0.2382333E+001   0.2435362E+001
   0.5195570E+001   0.2136756E+001   0.4815295E+001
   0.5497915E+001   0.4022635E+000   0.4835353E+001
   0.3210853E+001  -0.9454534E+000   0.2522097E+001
   0.3733880E+001  -0.1616575E+001   0.1307603E+001
  -0.1324347E+001  -0.7742437E+000  -0.8592256E+000
  -0.2128201E+001   0.5656475E+000  -0.2483693E+001
  -0.3893729E+000   0.4154738E+000  -0.2100339E+001
  -0.1931302E+001  -0.7610998E-001  -0.1905868E+001
  -0.3266458E+001  -0.7265755E-001  -0.2348264E+001
  -0.1234878E+001   0.9316596E+000  -0.3123687E+001
  -0.1466993E+001   0.2888185E+001  -0.2523292E+001
  -0.5129007E+000   0.5478460E+001  -0.1236074E+001
   0.9817095E+000   0.5054927E+001  -0.8423927E+000
  -0.1825155E+001   0.3349711E+001   0.3683345E+000
  -0.4023322E+000   0.1033640E+001   0.8396475E+000
   0.5040943E+000   0.6208763E+000   0.8368178E+000
