# ~alp d~p/dy   Phi_p_sgs,y
   0.2406744E+002   0.4408316E+000
   0.3708096E+001   0.4301436E+000
   0.4655575E+000  -0.2979614E-001
   0.5861019E-001   0.2023775E-002
   0.2593687E+001   0.1322126E+001
   0.1538560E+002   0.2351372E+001
   0.2275103E+002   0.7238749E+000
   0.3221931E+001  -0.3751737E-001
   0.1532553E+002   0.1061270E+002
   0.5852625E+002   0.3833478E+002
   0.1876332E+003   0.3217607E+002
   0.4441617E+002   0.3156025E+002
   0.1870167E+001   0.1267589E+001
  -0.4234977E+001  -0.6008323E+000
  -0.2544928E+001  -0.1136290E+000
  -0.3756078E+001   0.8848448E-001
  -0.2243544E+001   0.1815782E+000
  -0.1358728E+001   0.2569195E+000
  -0.2997726E+000   0.2709284E+000
  -0.9587139E+000   0.4566301E+000
   0.4971948E+001   0.5607997E+000
  -0.2195857E+001   0.8597773E+000
  -0.1950741E+001   0.9921251E-001
  -0.3452318E+000   0.7996354E-001
   0.1866131E+000   0.3100347E-001
   0.3650657E+001   0.2639308E+000
   0.1243464E+001   0.2466835E+000
   0.2235262E+001   0.1262510E+000
   0.1452366E+002   0.1084183E+000
  -0.3175410E+001   0.3719158E+001
   0.8817855E+002   0.2961165E+002
   0.3243918E+003   0.4134026E+002
   0.2831947E+003   0.8811419E+002
   0.5092549E+002   0.9724663E+001
   0.1227488E+002   0.1930533E+000
   0.4573996E+001   0.7244195E-001
   0.2489149E+001   0.4479267E-002
   0.2872461E+001   0.7765252E-001
   0.5364969E+001   0.6422113E+000
   0.7875992E+001   0.1762961E+001
   0.1439999E+002   0.1022015E+001
   0.1987622E+002   0.3706628E+000
   0.3778791E+001   0.4193952E-001
   0.8557139E+001   0.1099865E+001
   0.2618322E+002   0.1586972E+000
   0.3228581E+002   0.4690083E+000
   0.6144807E+001  -0.1525782E+000
   0.7224270E+001   0.5216082E+000
   0.3271076E+002   0.8748566E+001
   0.1475725E+003   0.2690663E+002
   0.1086235E+001   0.1377978E+000
   0.4546232E+000  -0.1968190E-001
   0.3210977E-002  -0.1009416E-001
  -0.1061973E+001  -0.1116653E+000
  -0.2910013E+001  -0.8114593E+000
  -0.4414260E+001  -0.1849503E+000
  -0.1734645E+001   0.4409419E+000
  -0.1975520E+001   0.3289098E+000
  -0.4651464E+001   0.3351796E+000
  -0.3028313E+001   0.1480667E+000
  -0.2301765E+001   0.5532187E+000
  -0.9269248E+000   0.7291694E+000
   0.7871296E-001   0.1263944E+000
   0.1382475E+001   0.2188067E+000
   0.6598687E+001   0.3163743E+000
   0.1530720E+002   0.3064804E-002
   0.3822105E+002   0.8747191E+000
   0.2873247E+002   0.4429303E+001
   0.7232702E+002   0.8508271E+001
   0.2079407E+003   0.2876221E+001
   0.6002005E+003   0.6545093E+002
   0.6924567E+003   0.2953402E+002
   0.2822004E+003   0.4192545E+002
   0.2457339E+003   0.2624160E+002
   0.4418970E+002   0.7105104E+000
   0.1260043E+002   0.5535208E+000
   0.5737794E+001   0.9852200E-001
   0.1106875E+002   0.2910929E-001
   0.1177952E+002   0.2049266E+000
   0.1386924E+002   0.1366009E+001
   0.8499269E+001   0.4250050E+000
   0.8372252E+001   0.2382495E+000
   0.1365931E+002   0.5060293E+000
   0.1015272E+002   0.7823802E+000
   0.5927739E+001   0.1712838E+000
   0.1475426E+002  -0.4669685E-001
   0.4594511E+001   0.2106635E+000
   0.1945798E+003   0.3758959E+002
   0.6538996E+002   0.1187554E+002
   0.4880121E+001   0.9982856E+000
   0.4726582E+000  -0.7266700E-002
   0.1887530E+000  -0.6983991E-003
  -0.4674650E+000  -0.6104252E-001
  -0.4460468E+001  -0.3880379E+000
  -0.1361471E+002  -0.1814562E+001
  -0.4603763E+001  -0.1390627E+001
  -0.1078064E+001  -0.3043657E-001
  -0.8911068E+000  -0.1592345E-001
  -0.9573596E+000  -0.2319655E-001
  -0.9074789E+000  -0.8822988E-003
  -0.1438088E+001  -0.9184601E-002
  -0.3461567E+001   0.1395825E+000
  -0.5469276E+000   0.3437954E+000
   0.5378640E+001   0.1472030E+000
   0.1019082E+002  -0.1606984E+000
   0.1558294E+002  -0.1263879E+001
   0.6403731E+002   0.2224547E+002
   0.8034952E+002   0.1914644E+002
   0.6646297E+002   0.6647389E+001
   0.3340270E+003  -0.1910898E+001
   0.2690457E+002   0.1452171E+002
   0.2769412E+002   0.1190791E+002
   0.1824845E+003   0.1058184E+002
   0.4934128E+002   0.3474566E+001
   0.4514811E+002   0.1598976E+001
   0.2964620E+002   0.9184548E-001
   0.2325001E+002   0.1645176E-003
   0.1114792E+002  -0.7599187E-001
   0.1213778E+002   0.2085927E+000
   0.1597368E+002   0.3833289E+000
   0.1060032E+002   0.1743904E+001
   0.2221700E+001  -0.4233104E-002
   0.1129699E+002   0.5658369E+000
  -0.4606408E+000   0.1255971E+000
  -0.3929117E+001  -0.2505511E-001
   0.4323610E+001  -0.4160233E+000
   0.1234244E+001   0.9738515E-002
   0.7950976E+000  -0.9767899E-001
   0.1004112E+002   0.1443636E+000
   0.3461955E+001   0.1678321E+000
   0.5172313E+000  -0.4083464E-002
   0.2473368E+000   0.1268913E-002
   0.1518150E+000  -0.9069846E-003
   0.2448432E+000  -0.1152487E-001
   0.4587636E+000  -0.1299889E-001
   0.2213925E+000  -0.2708244E-003
  -0.2722214E+000   0.5975829E-002
  -0.5572090E+000   0.4913819E-002
  -0.6772824E+000   0.1118323E-002
  -0.1066889E+001  -0.4259938E-002
  -0.3143757E+001  -0.6718620E-001
  -0.1665326E+002  -0.7431200E+000
  -0.8986343E+002  -0.1113588E+002
  -0.1078221E+003  -0.1117621E+002
  -0.6405271E+002   0.1906636E+002
   0.6151080E+003   0.8088577E+002
   0.2112771E+003   0.9239182E+002
   0.3447193E+002   0.1589847E+002
   0.5173710E+002   0.1417531E+002
   0.1287804E+003   0.3484147E+001
   0.2593503E+002   0.1222010E+001
   0.5146377E+002   0.5761670E+000
   0.1287592E+003   0.8446077E+000
   0.5278955E+003   0.4169176E+002
   0.5912001E+003   0.3807303E+002
   0.9722487E+003   0.1965952E+003
   0.7625272E+003   0.4340665E+003
   0.2177902E+003   0.9511820E+002
   0.7907219E+003   0.2866291E+002
   0.3026075E+003   0.2177551E+002
   0.3760261E+001   0.7495284E+000
   0.8711097E+000  -0.6046868E-002
   0.3167191E+001   0.5466014E-001
   0.3787557E+001   0.2018567E-001
   0.2270125E+001  -0.1846206E+000
   0.2048151E+001  -0.1509836E+000
   0.8736248E+000   0.2226091E-002
   0.5098060E+000  -0.4219166E-002
   0.1340661E+001   0.1989553E+000
   0.7111677E+000  -0.9226544E-002
   0.4044024E+000  -0.1000133E-001
   0.3812569E+000  -0.2045352E-002
   0.4297698E+000  -0.3212262E-003
   0.5925733E+000  -0.2815225E-003
   0.7752075E+000  -0.1937017E-003
   0.6769067E+000  -0.5956381E-002
   0.1297158E+000   0.1073249E-002
  -0.6418312E+000   0.2821833E-001
  -0.9130783E+000   0.1376340E-001
  -0.1567847E+001   0.1037327E+000
  -0.3338467E+001   0.2633434E+000
  -0.2233527E+002  -0.3600287E+001
  -0.1703914E+003  -0.2330285E+002
  -0.4124224E+002   0.6298683E+002
   0.6968669E+003   0.4211039E+002
   0.5766452E+002   0.5204577E+002
  -0.3351616E+002  -0.1885819E+002
  -0.1622861E+002  -0.3470295E+001
   0.4329475E+001  -0.1473050E+000
   0.2978462E+002   0.3509608E+001
   0.4027495E+002   0.5469298E+000
   0.1069219E+003   0.1512404E+001
   0.8128354E+002   0.2497846E+001
   0.5821951E+002   0.3020829E+001
   0.1118336E+003   0.6062785E+001
   0.4075819E+003   0.6000418E+002
   0.3174759E+003   0.2017737E+003
   0.7938522E+003   0.1887639E+003
   0.2723242E+003   0.6420287E+001
   0.1489470E+003   0.1429386E+002
   0.5318828E+001   0.1219267E+001
   0.9130004E+000  -0.5600090E-001
   0.5511729E+000  -0.6466231E-001
   0.2492148E+001  -0.5169406E-001
   0.2184381E+001  -0.5012332E-001
   0.1328351E+001  -0.1676110E-001
   0.7126921E+000  -0.4213490E-001
   0.3566688E+000   0.5712992E-004
   0.2853468E+000  -0.6861521E-002
   0.7195489E-001  -0.1041317E-001
   0.4893046E+000  -0.3848919E-001
   0.5545357E+000  -0.2195892E-002
   0.7716865E+000  -0.1632070E-002
   0.8350317E+000  -0.1159108E-001
   0.8942860E+000  -0.3629185E-002
   0.8658093E+000  -0.7337975E-002
   0.3679505E+000  -0.2986465E-001
  -0.1100639E+001   0.3589276E-001
  -0.1132888E+001   0.2110036E-001
  -0.3026803E+001   0.5120462E+000
   0.6497071E+001   0.6927232E+000
   0.9569001E+001  -0.3024367E+001
   0.2055123E+002  -0.2068323E+002
   0.2479047E+001   0.1398912E+002
  -0.5892112E+003  -0.3388123E+002
  -0.1109571E+004  -0.2549122E+003
  -0.8164064E+002  -0.3669147E+002
  -0.3789638E+002   0.1240703E+001
   0.1496078E+002  -0.1333127E+001
   0.3615742E+001   0.4851185E-001
   0.1769137E+002  -0.1276995E+001
   0.1075063E+002  -0.2295961E+001
   0.1164443E+002  -0.3370415E+001
   0.1177870E+002  -0.4153286E+000
   0.1649459E+002   0.2589760E-001
   0.1280083E+002   0.5802111E+000
   0.9586786E+001   0.2006611E+001
   0.1064211E+002   0.7822269E+000
   0.9799154E+002   0.4422249E+001
   0.3710264E+003   0.1479139E+002
   0.8269652E+001   0.4285449E+002
  -0.6484413E+001  -0.5634487E+000
  -0.9970265E+000  -0.4925659E+000
   0.3462063E+001  -0.5791586E-001
   0.2776745E+001  -0.3210015E-002
   0.1598386E+001  -0.4780335E-001
   0.5072325E+000  -0.1835774E-001
   0.3528035E+000  -0.6865012E-003
   0.2817574E+000  -0.1570010E-002
   0.3310078E+000  -0.1455441E-001
   0.7295474E+000  -0.6514827E-002
   0.7879612E+000  -0.5682133E-001
   0.6951319E+000  -0.6822609E-001
   0.6898121E+000  -0.1494052E-001
   0.1274342E+001  -0.1434273E-001
   0.1142752E+001  -0.1346689E-003
   0.1283276E+001  -0.1411122E+000
  -0.1080208E+001   0.4326327E-002
  -0.4161300E+000  -0.1100161E-001
   0.3769753E+001   0.2712673E+000
   0.8946036E+001   0.2673971E+001
   0.1434681E+003   0.3215019E+002
   0.3519796E+003   0.2946724E+002
   0.1859755E+003   0.2468192E+002
   0.7949161E+001  -0.2112485E+002
   0.2154875E+000   0.2484747E+000
   0.5761761E+000   0.2044980E+000
  -0.1021680E+003  -0.2155379E+002
  -0.1333164E+002  -0.6826499E+001
   0.5471658E+001  -0.9849330E-001
   0.2197411E+002   0.3546360E+001
   0.1861989E+002   0.2920651E+001
   0.1489649E+002   0.2639622E+000
   0.3274445E+002   0.2767525E+001
   0.1262630E+002   0.1316009E+001
   0.1292133E+002   0.9485574E-001
   0.7257818E+001   0.2602594E+000
   0.8892940E+001   0.1608300E+001
   0.7137393E+001   0.1031041E+001
   0.3539864E+003   0.7663811E+002
   0.3353677E+003   0.1128582E+003
  -0.3026431E+002   0.1313446E+000
   0.5535514E+001   0.2857450E+000
   0.8917320E+001   0.1709384E+000
   0.3692419E+001  -0.1483991E-001
   0.2024908E+001  -0.4842339E-001
   0.5248417E+000  -0.5645649E-002
   0.4690759E+000  -0.4033218E-002
   0.4011112E+000  -0.2112828E-003
   0.3569542E+000  -0.1090688E-001
   0.1850580E-001  -0.7390489E-002
  -0.1169972E+001  -0.5814277E-001
   0.1640803E+000  -0.2208274E+000
   0.1109070E+001  -0.7182606E-001
   0.2310321E+001  -0.1329321E-001
   0.3204909E+001   0.4392518E-001
   0.5158984E+001  -0.1942252E+000
   0.1080218E+001   0.3285600E-001
   0.5908869E+000   0.5558955E-001
  -0.6384301E+000  -0.4717538E-002
   0.4238568E+000  -0.1243319E+000
   0.3976285E+001   0.2392357E+000
   0.4677589E+001   0.3294344E-001
   0.3069038E+001   0.2552242E-002
   0.1869589E+001   0.2817857E-001
   0.5589713E+000  -0.1350614E-002
   0.1027185E+001   0.2252804E+000
   0.2221080E+002  -0.8374366E+001
  -0.2924587E+003  -0.1728596E+002
  -0.6258457E+002  -0.3724275E+002
   0.1744641E+002  -0.8524837E+000
   0.7404643E+002   0.5775544E+001
   0.4130411E+002   0.1045227E+001
   0.4168453E+001   0.4789739E+001
   0.3520932E+000   0.1650064E-003
   0.1999382E+000  -0.6811513E-003
   0.9148300E-001  -0.2857551E-003
  -0.1331246E-001   0.4338811E-003
   0.1284765E+000   0.1160721E-001
   0.8752716E+001   0.1141523E+002
   0.2927321E+003   0.2159861E+003
   0.2034967E+003   0.1807073E+003
   0.9965581E+002   0.1764670E+002
   0.6303433E+000   0.1221145E+000
   0.1098060E+001   0.1256429E-001
   0.8508619E+000   0.1732947E-001
   0.2984754E+000   0.3107930E-002
   0.5130126E+000  -0.1417710E-001
   0.6770081E+000  -0.3317927E-002
   0.7892810E+000   0.1107136E-002
   0.1156908E+001  -0.7949120E-001
   0.1552907E+001  -0.1201535E+000
   0.1603454E+001  -0.4518997E-001
   0.1499272E+001  -0.3536953E-002
   0.2229921E+001  -0.1158539E-001
   0.6685422E+001   0.2666004E-001
   0.4001424E+002  -0.4414558E+000
   0.1361296E+002   0.2879305E+000
   0.5426105E+001   0.1109444E+000
   0.9999819E+000   0.3559867E-001
   0.2382225E+001   0.3144161E+001
   0.7248163E+002   0.6017335E+001
   0.1753525E+002   0.4769496E+000
   0.3852002E+001   0.4313083E-001
   0.1671265E+001   0.2990699E-002
   0.8910233E+000  -0.2621244E-002
   0.8086886E+000  -0.1376099E-001
  -0.1375708E+000  -0.3702886E-001
  -0.8892507E+001  -0.4652851E+001
  -0.1129202E+003  -0.4510062E+002
  -0.3539344E+003  -0.4846299E+002
  -0.4360515E+002  -0.5404878E+002
  -0.2619955E+001  -0.6207256E+000
  -0.1280943E+001  -0.4815118E-001
  -0.1725113E+001  -0.4572967E+000
  -0.1668897E+001  -0.2748974E-003
  -0.3749310E+000   0.2424996E-002
   0.6650182E-001  -0.2461044E-002
   0.2835191E+000  -0.1154775E-004
  -0.4497460E+000  -0.1761021E+000
   0.1105716E+001  -0.1826208E+000
   0.5196172E+003   0.1389932E+003
   0.1587818E+003   0.1545817E+002
   0.3766631E+001   0.4387916E+000
  -0.1030855E+001   0.2163025E-001
  -0.5941108E+000   0.2396869E-001
  -0.1151776E+000   0.9465068E-002
   0.2866960E+000  -0.7138572E-003
   0.8923285E+000  -0.8438502E-002
   0.1398666E+001  -0.9382772E-002
   0.1697043E+001  -0.5138818E-002
   0.1733906E+001  -0.2423071E-002
   0.1664060E+001  -0.2108846E-002
   0.1657535E+001  -0.1939746E-002
   0.2043659E+001  -0.9274075E-002
   0.4707249E+001   0.6247560E-003
   0.1462397E+002   0.1055322E+001
   0.5436017E+001   0.4694414E+000
   0.1472225E+002  -0.6215757E+000
   0.7791142E+001  -0.6179317E-001
   0.2407028E+001  -0.2362145E+001
   0.3760984E+002  -0.1225228E+002
   0.2086174E+002   0.1373450E+000
   0.7281311E+001   0.8108575E-002
   0.1957932E+001   0.1222638E-001
   0.1098969E+001  -0.1063501E-002
   0.2094144E+001   0.4209574E-001
   0.6960912E+001   0.8680444E+000
