#sig_xx    sig_xy    sig_xz    sig_yy    sig_yz    sig_zz
   0.4501395E-002  -0.1994464E-002   0.5377002E-002   0.7484080E-001  -0.2302295E+000   0.1187808E+001
   0.4471045E-002   0.2884727E-002   0.5746932E-003   0.6578891E-002  -0.1191814E-001   0.6500136E-001
   0.3097187E-002   0.6464479E-003   0.2094054E-002   0.9819396E-003  -0.2777179E-002   0.4112264E-001
   0.7490175E-002   0.2026577E-002   0.2475443E-001   0.1073513E-002   0.7452327E-002   0.1411497E+000
   0.8117778E-002   0.1600104E-002   0.4538106E-001   0.1914663E-002   0.1210121E-001   0.3121762E+000
   0.1600150E-002  -0.6640683E-003  -0.7525908E-002   0.1857847E-002   0.9991020E-002   0.8291385E-001
   0.2663104E-001  -0.1110379E-001  -0.4573624E-001   0.5329521E-002   0.1988509E-001   0.9001257E-001
   0.5102962E-001  -0.1991657E-001  -0.3796798E-001   0.1780595E-001   0.4064216E-002   0.7832233E-001
   0.1156317E+000   0.9659760E-002  -0.2762582E+000   0.6595590E-001  -0.1036667E+000   0.9391214E+000
   0.6686793E-001   0.2304745E-001  -0.1113582E+000   0.7815032E-001  -0.2303248E+000   0.8256109E+000
   0.8525874E-001  -0.3867333E-001   0.1784301E-001   0.4408153E-001  -0.6495051E-001   0.2376229E+000
   0.6677952E-001   0.8964238E-002  -0.1211355E+000   0.1012252E-001  -0.1596319E-001   0.2473053E+000
   0.7841378E-001   0.2806697E-001  -0.7245151E-001   0.1610642E-001  -0.2959140E-001   0.1401229E+000
   0.5828357E-001   0.1893303E-001  -0.1437537E-001   0.1107155E-001  -0.1422245E-001   0.8445424E-001
   0.3423953E-001   0.2911637E-002  -0.1675296E-001   0.1019936E-001   0.2238676E-002   0.9672831E-001
   0.1188295E-001  -0.1124469E-002   0.6833420E-002   0.2837970E-001   0.6539917E-002   0.7046244E-001
   0.3346886E-001  -0.4239050E-001  -0.4369644E-002   0.9117000E-001   0.7112443E-001   0.2703067E+000
   0.2708851E-001  -0.2465542E-001  -0.2470792E-001   0.8248444E-001   0.4859203E-001   0.3222275E+000
   0.2772487E-001  -0.2856111E-002   0.4027460E-001   0.3222054E-001  -0.7486341E-002   0.1828067E+000
   0.9503687E-002  -0.6975657E-002   0.1891721E-001   0.1295234E+000   0.2535154E-001   0.1454755E+000
   0.8404384E-002  -0.1263818E-001   0.3209606E-002   0.4486458E-001  -0.3698204E-001   0.9698149E-001
   0.5150731E-002  -0.8350769E-002   0.2383959E-001   0.6226249E-001  -0.8759097E-001   0.2577661E+000
   0.3328225E-001   0.3339199E-002   0.1612608E-001   0.1543027E-001  -0.1962693E-001   0.1397210E+000
   0.8120686E-001  -0.2561405E-001  -0.4893552E-001   0.2307094E-001   0.1402492E-001   0.8875576E-001
   0.3780096E-001  -0.1609888E-001   0.5285098E-001   0.2247366E-001  -0.2566101E-001   0.3894051E+000
   0.1791045E-001  -0.5915398E-002   0.8533874E-002   0.2313038E-001  -0.6662016E-001   0.4622041E+000
   0.2237104E-001   0.1299982E-001  -0.4506790E-001   0.2222694E-001  -0.5007323E-001   0.4594816E+000
   0.1239651E+000   0.4445211E-001   0.9939244E-001   0.4822508E-001  -0.3372100E-001   0.2951314E+000
   0.7742093E-001   0.6345087E-001  -0.1816087E+000   0.8070465E-001  -0.1818759E+000   0.6320657E+000
   0.4323551E-001   0.3028772E-001  -0.8892397E-001   0.4358484E-001  -0.4568627E-001   0.2818229E+000
   0.2427729E-001   0.1889602E-002  -0.6156880E-001   0.5725231E-002  -0.1452247E-001   0.2248447E+000
   0.1769488E-001  -0.1142826E-003   0.9160646E-002   0.4601052E-002  -0.1576466E-001   0.1695467E+000
   0.7426800E-001   0.1192677E-001   0.1648896E+000   0.7567343E-002   0.1919178E-001   0.4315875E+000
   0.6379286E-001   0.5374488E-003   0.2030054E+000   0.5450841E-001   0.1240494E-001   0.9070443E+000
   0.1350575E-001  -0.3914490E-002   0.3560297E-001   0.2944457E-001  -0.4070158E-001   0.1609573E+000
   0.5933011E-002   0.4640245E-002   0.2579363E-002   0.2819032E-001  -0.8499550E-001   0.6501287E+000
   0.9380720E-002   0.3224614E-002   0.2349858E-001   0.2788125E-001  -0.5708941E-001   0.2651988E+000
   0.5038160E-002  -0.3646838E-002   0.5122888E-001   0.3404043E-001  -0.1378455E+000   0.9858670E+000
   0.4977166E-002  -0.7584084E-002   0.2645217E-001   0.6535917E-001  -0.2723300E+000   0.1240884E+001
   0.8399453E-002  -0.4695159E-002   0.6749231E-002   0.1134158E+000  -0.3600493E+000   0.1193360E+001
   0.1807455E-001   0.3377208E-002   0.5781599E-002   0.1279411E-001   0.1486990E-001   0.4513434E-001
   0.1600033E-001   0.4438489E-002   0.3087394E-001   0.6669808E-002   0.1629473E-001   0.8162434E-001
   0.1626487E-001   0.2847906E-002   0.5749951E-001   0.1447257E-002   0.1267508E-001   0.2263251E+000
   0.1762682E-001   0.4852479E-002   0.8777780E-001   0.2219886E-002   0.2716912E-001   0.4599247E+000
   0.2365478E-002  -0.8440651E-003   0.2259893E-002   0.2554199E-002   0.1627219E-001   0.1876445E+000
   0.5107236E-002  -0.3216333E-002  -0.8155787E-002   0.3606240E-002   0.1182445E-001   0.9138617E-001
   0.4330801E-001  -0.2326215E-001  -0.1770030E-001   0.3531506E-001  -0.1588725E-001   0.1699328E+000
   0.8611934E-001  -0.1933495E-001  -0.2340642E+000   0.1662672E-001   0.5137480E-001   0.8332255E+000
   0.1526828E+000  -0.2029548E-001  -0.2514504E+000   0.1012923E-001   0.4006743E-001   0.4921153E+000
   0.6387788E-001  -0.7886915E-002  -0.8975886E-001   0.4446746E-002   0.1465030E-001   0.1369567E+000
   0.1564305E+000   0.1691055E-001  -0.3089412E+000   0.1692851E-001  -0.3556563E-001   0.6371270E+000
   0.5914401E-001   0.1466097E-001  -0.1552801E+000   0.2818962E-001  -0.6892510E-002   0.4856092E+000
   0.5185431E-001   0.1442456E-001  -0.1129639E+000   0.2301088E-001  -0.1499884E-001   0.2993490E+000
   0.2595140E-001   0.1679834E-001  -0.6271476E-002   0.2853838E-001   0.1925545E-001   0.7306981E-001
   0.6925646E-002   0.7557904E-003   0.8122148E-002   0.3781386E-001   0.9055275E-001   0.3005985E+000
   0.1597843E-001  -0.3878859E-002   0.1219063E-001   0.6021299E-001   0.2441359E-001   0.2069429E+000
   0.2706884E-001   0.1658694E-002  -0.1187590E+000   0.3653901E-001  -0.5273720E-001   0.8501413E+000
   0.5764747E-001   0.2449810E-002  -0.2030365E+000   0.2718225E-001  -0.2158348E-001   0.8967613E+000
   0.3523841E-001  -0.5168994E-002  -0.1264688E+000   0.3871080E-001   0.4510432E-001   0.7251229E+000
   0.4950666E-001  -0.6205202E-002  -0.1048302E+000   0.1066383E+000   0.4468351E-001   0.4593771E+000
   0.3712393E-001   0.6810257E-002  -0.4394032E-001   0.1186025E+000  -0.1582906E+000   0.2529038E+000
   0.2805717E-001   0.9351198E-002   0.3752924E-002   0.6333309E-001  -0.9027927E-001   0.1674633E+000
   0.4606623E-001  -0.1134939E-001   0.2173571E-002   0.4550609E-001  -0.4343666E-001   0.1947661E+000
   0.1083954E-001   0.3727957E-003  -0.2182458E-002   0.4341826E-001   0.5730269E-002   0.1150443E+000
   0.1554477E-001   0.4520942E-002   0.1020884E-001   0.3203367E-001   0.5684250E-002   0.6501216E-001
   0.5252528E-001  -0.1861877E-001   0.9892737E-001   0.6651479E-001  -0.9017385E-001   0.3348477E+000
   0.3543651E-001   0.1428913E-002  -0.4592059E-002   0.2833974E-001  -0.3989824E-001   0.3768326E+000
   0.4406172E-001   0.1636624E-001  -0.7035632E-001   0.2546242E-001  -0.1031569E+000   0.6120456E+000
   0.9614002E-001   0.4819070E-001   0.4783029E-001   0.3848287E-001   0.5322386E-001   0.3650049E+000
