# ~alp d~p/dx   Phi_p_sgs,x
  -0.1405752E+002  -0.3152571E+002
  -0.3283369E+002  -0.2505156E+002
  -0.4045414E+002  -0.1659990E+002
  -0.2992531E+002  -0.1296087E+002
  -0.1925885E+002  -0.1261793E+002
  -0.7490293E+001  -0.8627434E+001
  -0.4263305E+001  -0.3375588E+001
  -0.8033974E+001  -0.4356632E+001
  -0.2014814E+002  -0.5348508E+001
  -0.1889356E+002  -0.5664281E+001
  -0.9568104E+001  -0.6893794E+001
  -0.4496777E+001  -0.2394491E+001
  -0.4444561E+001   0.5203457E+001
  -0.2848044E+002  -0.8000485E+001
  -0.2621125E+002   0.6238577E+002
   0.9724737E+002   0.1599763E+003
   0.2153270E+003   0.1767486E+003
   0.1776151E+003   0.2174955E+003
   0.6457238E+002   0.1392947E+003
   0.7983841E+001   0.2905124E+002
  -0.3967601E+000   0.1213618E+002
  -0.2036669E+001   0.2143745E+001
  -0.2807795E+001   0.1122974E+000
  -0.3268071E+001  -0.1263580E+000
  -0.4737000E+001  -0.7850335E+000
  -0.6288126E+001  -0.4416755E+001
  -0.2748200E+001  -0.4028913E+001
   0.1007533E+001  -0.5584195E+001
   0.4719080E+001  -0.3667692E+001
   0.4366720E+001  -0.4639115E+001
   0.4372433E+000  -0.1855997E+001
   0.6529019E+000   0.8710206E+000
   0.6985227E+000   0.1177374E+001
   0.1418083E+001   0.1206024E+001
   0.1647094E+001   0.1152751E+000
   0.2358297E+001   0.1233973E+000
   0.1757750E+001   0.4306061E+000
   0.1077727E+001   0.3283084E+000
   0.1315903E+001  -0.7244773E+000
  -0.9040627E+000  -0.2468946E+002
  -0.7792536E+001  -0.2254681E+002
  -0.2678910E+002  -0.1885563E+002
  -0.4521404E+002  -0.1332319E+002
  -0.2838892E+002  -0.8748136E+001
  -0.1445544E+002  -0.6865391E+001
  -0.5220482E+001  -0.3042828E+001
  -0.4190398E+001  -0.4042506E+001
  -0.1099803E+002  -0.9696492E+001
  -0.1807996E+002  -0.1036827E+002
  -0.1557981E+002  -0.9645711E+001
  -0.5095080E+001  -0.4625783E+001
  -0.3625733E+001  -0.7853418E+001
  -0.1082471E+002  -0.2391289E+002
  -0.5988070E+002  -0.3983148E+002
  -0.9044723E+002   0.1589768E+002
   0.5878637E+002   0.1004686E+003
   0.2066732E+003   0.1092857E+003
   0.1980689E+003   0.1738301E+003
   0.1023602E+003   0.1258244E+003
   0.2806841E+002   0.4536361E+002
   0.8622960E+001   0.3469950E+002
  -0.1668752E+001   0.1343559E+002
  -0.4939949E+001   0.3251072E+001
  -0.6316164E+001   0.2577277E+001
  -0.9047356E+001   0.9552606E+000
  -0.1142693E+002  -0.1205959E+001
  -0.5527511E+001  -0.3736921E+001
   0.2387130E+000  -0.1213580E+002
   0.5490079E+001  -0.1379750E+002
   0.2303829E+001  -0.1220182E+002
  -0.1379839E+001  -0.4086849E+001
   0.4407878E+001   0.3841835E+001
   0.2966380E+001   0.6391977E+001
   0.2758163E+001   0.7495279E+001
   0.8359876E+000   0.1066918E+001
   0.1789931E+001   0.7107750E+000
   0.1985475E+001   0.7208676E+000
   0.1079130E+001   0.7787575E+000
   0.1303850E+001   0.2069508E+001
   0.1730059E+001  -0.7869519E+001
  -0.2173295E+001  -0.1164072E+002
  -0.1949260E+002  -0.1032797E+002
  -0.3540956E+002  -0.8760799E+001
  -0.2312646E+002  -0.5112560E+001
  -0.1154797E+002  -0.2364974E+001
  -0.5836347E+001  -0.5299862E+000
  -0.4689658E+001  -0.2336354E+001
  -0.1282444E+002  -0.9628645E+001
  -0.2008781E+002  -0.9834393E+001
  -0.1956922E+002  -0.1044471E+002
  -0.4582480E+001  -0.6942193E+001
  -0.3827351E+001  -0.1347634E+002
  -0.1983357E+002  -0.4141735E+002
  -0.8158561E+002  -0.5906589E+002
  -0.1269691E+003   0.1087469E+002
   0.1348997E+002   0.5262540E+002
   0.1490556E+003   0.4838139E+002
   0.1541965E+003   0.1047343E+003
   0.1051542E+003   0.8005372E+002
