 # filt(alp*rho*Vrx/tfpF)    filt(alp*rho*Vrx)/filt(tfpF)
  -0.2118350E+003  -0.2050839E+003
  -0.1004008E+003  -0.9425148E+002
  -0.4823274E+002  -0.4395357E+002
  -0.4595344E+002  -0.4276540E+002
  -0.1051550E+003  -0.1019322E+003
  -0.1581669E+003  -0.1581406E+003
  -0.1552709E+003  -0.1587551E+003
  -0.9371204E+002  -0.8196207E+002
   0.2130209E+002   0.6551294E+002
   0.1592660E+003   0.2219681E+003
   0.2559416E+003   0.2881314E+003
   0.3046582E+003   0.2891548E+003
   0.3248430E+003   0.2829426E+003
   0.2736662E+003   0.2398466E+003
   0.2036475E+003   0.1865888E+003
   0.1309978E+003   0.1250309E+003
   0.8244489E+002   0.9130771E+002
   0.8981419E+002   0.1026216E+003
   0.1049337E+003   0.1203790E+003
   0.1334708E+003   0.1568072E+003
   0.1389844E+003   0.1623594E+003
   0.1031510E+003   0.1135863E+003
   0.5374233E+002   0.5302671E+002
   0.1112005E+002  -0.7151881E+000
  -0.2653695E+002  -0.4368384E+002
  -0.3868867E+002  -0.5166785E+002
  -0.1658944E+002  -0.2226921E+002
   0.1609850E+001  -0.1272562E+001
   0.8179972E+001   0.5784379E+001
   0.2136051E+002   0.1850604E+002
   0.3527115E+002   0.3235272E+002
   0.6232653E+002   0.5884801E+002
   0.7305445E+002   0.7254564E+002
   0.1469556E+002   0.1701568E+002
  -0.1483222E+003  -0.1346791E+003
  -0.3669218E+003  -0.3463017E+003
  -0.4951913E+003  -0.4792019E+003
  -0.5748621E+003  -0.5669385E+003
  -0.4949010E+003  -0.4938344E+003
  -0.3411516E+003  -0.3365315E+003
  -0.2304989E+003  -0.2326210E+003
  -0.1253482E+003  -0.1267983E+003
  -0.6596022E+002  -0.6775315E+002
  -0.7247392E+002  -0.7420554E+002
  -0.1314800E+003  -0.1301288E+003
  -0.1644632E+003  -0.1737783E+003
  -0.1587686E+003  -0.1782174E+003
  -0.7528287E+002  -0.6730983E+002
   0.5989467E+002   0.1030542E+003
   0.1975668E+003   0.2494650E+003
   0.2676112E+003   0.2870451E+003
   0.2961897E+003   0.2760431E+003
   0.3058471E+003   0.2636954E+003
   0.2440449E+003   0.2116098E+003
   0.1880602E+003   0.1688879E+003
   0.1347863E+003   0.1263199E+003
   0.6453496E+002   0.7306362E+002
   0.7124814E+002   0.8015193E+002
   0.9379397E+002   0.1029113E+003
   0.1198023E+003   0.1307315E+003
   0.1276015E+003   0.1367027E+003
   0.1090915E+003   0.1120650E+003
   0.7671208E+002   0.8016419E+002
   0.3433753E+002   0.2729916E+002
  -0.7845254E+000  -0.1765757E+002
  -0.2309832E+002  -0.4023175E+002
  -0.1864296E+002  -0.2844969E+002
   0.9223386E+001   0.5450061E+001
   0.2648354E+002   0.2373235E+002
   0.4355780E+002   0.4193190E+002
   0.5445800E+002   0.5368921E+002
   0.6369895E+002   0.6203467E+002
   0.6272928E+002   0.6381375E+002
   0.1260353E+002   0.1404401E+002
  -0.1217281E+003  -0.1135800E+003
  -0.3213443E+003  -0.3049023E+003
  -0.4536249E+003  -0.4335759E+003
  -0.5546246E+003  -0.5383811E+003
  -0.4997345E+003  -0.4930048E+003
  -0.3612254E+003  -0.3609206E+003
  -0.2756049E+003  -0.2948388E+003
  -0.2020887E+003  -0.2235836E+003
  -0.1409056E+003  -0.1577576E+003
  -0.1288401E+003  -0.1386904E+003
  -0.1276679E+003  -0.1357163E+003
  -0.1127776E+003  -0.1263700E+003
  -0.1015496E+003  -0.1172380E+003
  -0.4168511E+002  -0.3408349E+002
   0.5031387E+002   0.8017297E+002
   0.1478028E+003   0.1826148E+003
   0.2279778E+003   0.2461785E+003
   0.2714004E+003   0.2627053E+003
   0.2969754E+003   0.2671482E+003
   0.2441808E+003   0.2171312E+003
   0.1886321E+003   0.1711227E+003
   0.1353399E+003   0.1269774E+003
   0.6172533E+002   0.6522782E+002
   0.7166674E+002   0.7472329E+002
   0.1012275E+003   0.1070721E+003
   0.1214061E+003   0.1283633E+003
   0.1259799E+003   0.1297750E+003
   0.1128002E+003   0.1145376E+003
   0.8583323E+002   0.8737934E+002
   0.5280448E+002   0.5226496E+002
   0.2126544E+002   0.1228578E+002
  -0.7043491E+001  -0.2165132E+002
  -0.1704931E+002  -0.2792104E+002
   0.9069980E+001   0.6396911E+001
   0.3949091E+002   0.3926429E+002
   0.6376440E+002   0.6589828E+002
   0.8032256E+002   0.8419460E+002
   0.7818534E+002   0.8175883E+002
   0.6220065E+002   0.6582725E+002
   0.1857503E+002   0.1971339E+002
  -0.7839744E+002  -0.7718781E+002
  -0.2360570E+003  -0.2296657E+003
  -0.3640830E+003  -0.3503546E+003
  -0.4731937E+003  -0.4638676E+003
  -0.4544321E+003  -0.4622218E+003
  -0.3658149E+003  -0.3817338E+003
  -0.3208377E+003  -0.3548648E+003
  -0.2774512E+003  -0.3208393E+003
  -0.2105378E+003  -0.2434749E+003
  -0.1637136E+003  -0.1795018E+003
  -0.1059601E+003  -0.1124013E+003
  -0.6043269E+002  -0.6269822E+002
  -0.4572353E+002  -0.4592242E+002
  -0.3380648E+002  -0.3137602E+002
  -0.3489618E+001   0.7920674E+001
   0.6470374E+002   0.8342977E+002
   0.1534500E+003   0.1703100E+003
   0.2186023E+003   0.2201786E+003
   0.2768578E+003   0.2566471E+003
   0.2471310E+003   0.2264824E+003
   0.1881289E+003   0.1769943E+003
   0.1412238E+003   0.1386972E+003
   0.7099730E+002   0.7432516E+002
   0.7864884E+002   0.8088888E+002
   0.1123439E+003   0.1176178E+003
   0.1309965E+003   0.1377052E+003
   0.1319723E+003   0.1356039E+003
   0.1203512E+003   0.1223846E+003
   0.9007400E+002   0.9324056E+002
   0.5672173E+002   0.5700811E+002
   0.3475611E+002   0.3313752E+002
   0.4606593E+001  -0.3850002E+001
  -0.1491253E+002  -0.2409978E+002
   0.8367280E+001   0.8045705E+001
   0.4800256E+002   0.5150411E+002
   0.7534391E+002   0.8125977E+002
   0.1004093E+003   0.1100980E+003
   0.1013230E+003   0.1120054E+003
   0.6831308E+002   0.7461813E+002
   0.2573970E+002   0.2742332E+002
  -0.3926908E+002  -0.4215368E+002
  -0.1458075E+003  -0.1508638E+003
  -0.2638129E+003  -0.2646180E+003
  -0.3599180E+003  -0.3666123E+003
  -0.3831768E+003  -0.4079186E+003
  -0.3630818E+003  -0.3922867E+003
  -0.3212375E+003  -0.3546493E+003
  -0.3269364E+003  -0.3829192E+003
  -0.2500090E+003  -0.2890120E+003
  -0.1848501E+003  -0.2008271E+003
  -0.8577842E+002  -0.8682348E+002
  -0.6175043E+001  -0.1122030E+001
   0.3674915E+001   0.7706524E+001
  -0.2411515E+002  -0.2455143E+002
  -0.4214164E+002  -0.4219323E+002
  -0.8058002E+001  -0.4209857E+001
   0.8132602E+002   0.9105634E+002
   0.1672146E+003   0.1727840E+003
   0.2446113E+003   0.2368547E+003
   0.2443808E+003   0.2309920E+003
   0.1901027E+003   0.1854227E+003
   0.1436595E+003   0.1486799E+003
   0.9036947E+002   0.9783866E+002
   0.9136454E+002   0.9538796E+002
   0.1250957E+003   0.1311748E+003
   0.1455551E+003   0.1575055E+003
   0.1410805E+003   0.1485097E+003
   0.1284382E+003   0.1320504E+003
   0.9461502E+002   0.9982331E+002
   0.5280186E+002   0.5408954E+002
   0.3853856E+002   0.3877845E+002
   0.1326525E+002   0.9760371E+001
  -0.1200427E+002  -0.1888476E+002
   0.9528020E+001   0.1140467E+002
   0.6088196E+002   0.6910234E+002
   0.8602954E+002   0.9531820E+002
   0.1141665E+003   0.1287148E+003
   0.1178680E+003   0.1358612E+003
   0.6376611E+002   0.7058647E+002
   0.2173687E+002   0.2080175E+002
  -0.2476297E+002  -0.2991246E+002
  -0.1017030E+003  -0.1081758E+003
  -0.1816149E+003  -0.1851867E+003
  -0.2498265E+003  -0.2648883E+003
  -0.2943568E+003  -0.3186656E+003
  -0.3088547E+003  -0.3346248E+003
  -0.3051842E+003  -0.3339718E+003
  -0.3389713E+003  -0.3927906E+003
  -0.2680127E+003  -0.3009986E+003
  -0.1972064E+003  -0.2081464E+003
  -0.7878295E+002  -0.7668739E+002
   0.9631122E+001   0.1479181E+002
