 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.6934970E+003   0.7021016E+003
   0.6116517E+003   0.6288739E+003
   0.5940294E+003   0.6118729E+003
   0.5728875E+003   0.6005347E+003
   0.5725547E+003   0.6155466E+003
   0.5850545E+003   0.6343129E+003
   0.5969854E+003   0.6453438E+003
   0.6292768E+003   0.6632732E+003
   0.6607751E+003   0.6763805E+003
   0.7038660E+003   0.7251314E+003
   0.7301867E+003   0.7534565E+003
   0.7375676E+003   0.7679205E+003
   0.7345564E+003   0.8000206E+003
   0.7319563E+003   0.8271957E+003
   0.7696154E+003   0.8746655E+003
   0.8222569E+003   0.9352229E+003
   0.8957038E+003   0.9891190E+003
   0.9618916E+003   0.1014249E+004
   0.9902015E+003   0.1023675E+004
   0.1005619E+004   0.1032306E+004
   0.1020246E+004   0.1036106E+004
   0.1017468E+004   0.1019377E+004
   0.1002129E+004   0.9881302E+003
   0.9593235E+003   0.9405025E+003
   0.9205774E+003   0.9013470E+003
   0.8837333E+003   0.8745834E+003
   0.8372734E+003   0.8588277E+003
   0.7963655E+003   0.8494748E+003
   0.7546009E+003   0.8166741E+003
   0.7342731E+003   0.8075438E+003
   0.7674401E+003   0.8511895E+003
   0.8606536E+003   0.9121936E+003
   0.9986426E+003   0.1013346E+004
   0.1114765E+004   0.1129052E+004
   0.1164014E+004   0.1173878E+004
   0.1146648E+004   0.1139123E+004
   0.1086978E+004   0.1056344E+004
   0.9941655E+003   0.9768155E+003
   0.8787829E+003   0.8986140E+003
   0.7924858E+003   0.8074040E+003
   0.6897363E+003   0.6909434E+003
   0.6239637E+003   0.6295496E+003
   0.6441023E+003   0.6600536E+003
   0.6702454E+003   0.6851189E+003
   0.7046093E+003   0.7267930E+003
   0.7458984E+003   0.7921593E+003
   0.7598388E+003   0.8195101E+003
   0.7837794E+003   0.8356290E+003
   0.7940626E+003   0.8211015E+003
   0.7923421E+003   0.8101318E+003
   0.7702926E+003   0.7873931E+003
   0.7297347E+003   0.7550930E+003
   0.6940064E+003   0.7543740E+003
   0.6755515E+003   0.7574119E+003
   0.7142175E+003   0.8014684E+003
   0.7796297E+003   0.8729040E+003
   0.8632032E+003   0.9370869E+003
   0.9359238E+003   0.9763704E+003
   0.9745178E+003   0.9944608E+003
   0.9968088E+003   0.1006284E+004
   0.1020299E+004   0.1017896E+004
   0.1026239E+004   0.1019154E+004
   0.1016454E+004   0.1007202E+004
   0.9913252E+003   0.9808093E+003
   0.9536687E+003   0.9366364E+003
   0.9007098E+003   0.8837373E+003
   0.8331440E+003   0.8381718E+003
   0.7612239E+003   0.7845172E+003
   0.7252020E+003   0.7532355E+003
   0.7430437E+003   0.7849880E+003
   0.8080565E+003   0.8827790E+003
   0.9167880E+003   0.9920121E+003
   0.1042911E+004   0.1088586E+004
   0.1130958E+004   0.1195032E+004
   0.1171693E+004   0.1266308E+004
   0.1162217E+004   0.1254097E+004
   0.1116904E+004   0.1184258E+004
   0.1031893E+004   0.1087930E+004
   0.8949948E+003   0.9525194E+003
   0.7888557E+003   0.8192546E+003
   0.7512775E+003   0.7563444E+003
   0.7334166E+003   0.7453245E+003
   0.7785366E+003   0.8184210E+003
   0.8245937E+003   0.8806927E+003
   0.8784578E+003   0.9428923E+003
   0.9243224E+003   0.9881147E+003
   0.9212858E+003   0.9736722E+003
   0.9172264E+003   0.9587568E+003
   0.8897514E+003   0.9109823E+003
   0.8449946E+003   0.8560883E+003
   0.7946958E+003   0.8049989E+003
   0.7288658E+003   0.7484138E+003
   0.6792593E+003   0.7310951E+003
   0.6496673E+003   0.7203327E+003
   0.6764519E+003   0.7448391E+003
